timestamp,client_id,layer_name,input_type,input_device,dtype,shape,numel,is_cuda,gpu_to_cpu_numpy_ms,ctypes_build_ms,c_compress_ms,payload_copy_ms,layer_total_ms,model_total_ms,status
1779689583.4330878,resnet50_cuda_client,conv1.weight,Tensor,cuda:0,torch.float32,64x3x3x3,1728,True,0.296302,0.093807,0.765459,0.049834,1.260456,739.525318,ok
1779689583.433381,resnet50_cuda_client,bn1.weight,Tensor,cuda:0,torch.float32,64,64,True,0.117356,0.074532,0.036005,0.026206,0.278158,739.525318,ok
1779689583.4335194,resnet50_cuda_client,bn1.bias,Tensor,cuda:0,torch.float32,64,64,True,0.061476,0.018923,0.022554,0.014432,0.131327,739.525318,ok
1779689583.4343913,resnet50_cuda_client,layer1.0.conv1.weight,Tensor,cuda:0,torch.float32,64x64x1x1,4096,True,0.055755,0.016346,0.763260,0.019549,0.867434,739.525318,ok
1779689583.4345539,resnet50_cuda_client,layer1.0.bn1.weight,Tensor,cuda:0,torch.float32,64,64,True,0.079628,0.023110,0.025041,0.013883,0.155949,739.525318,ok
1779689583.4346662,resnet50_cuda_client,layer1.0.bn1.bias,Tensor,cuda:0,torch.float32,64,64,True,0.051104,0.013764,0.020585,0.011270,0.107450,739.525318,ok
1779689583.438377,resnet50_cuda_client,layer1.0.conv2.weight,Tensor,cuda:0,torch.float32,64x64x3x3,36864,True,0.088005,0.016017,3.552449,0.023226,3.706580,739.525318,ok
1779689583.4385378,resnet50_cuda_client,layer1.0.bn2.weight,Tensor,cuda:0,torch.float32,64,64,True,0.077737,0.020780,0.023547,0.018096,0.154123,739.525318,ok
1779689583.4386542,resnet50_cuda_client,layer1.0.bn2.bias,Tensor,cuda:0,torch.float32,64,64,True,0.051962,0.013803,0.020477,0.014074,0.111289,739.525318,ok
1779689583.4405909,resnet50_cuda_client,layer1.0.conv3.weight,Tensor,cuda:0,torch.float32,256x64x1x1,16384,True,0.064427,0.013928,1.818676,0.023499,1.932316,739.525318,ok
1779689583.4407566,resnet50_cuda_client,layer1.0.bn3.weight,Tensor,cuda:0,torch.float32,256,256,True,0.076954,0.019796,0.036290,0.012956,0.159785,739.525318,ok
1779689583.440883,resnet50_cuda_client,layer1.0.bn3.bias,Tensor,cuda:0,torch.float32,256,256,True,0.050889,0.015279,0.032721,0.012157,0.121941,739.525318,ok
1779689583.4424012,resnet50_cuda_client,layer1.0.shortcut.0.weight,Tensor,cuda:0,torch.float32,256x64x1x1,16384,True,0.065976,0.015090,1.399982,0.021063,1.514195,739.525318,ok
1779689583.442571,resnet50_cuda_client,layer1.0.shortcut.1.weight,Tensor,cuda:0,torch.float32,256,256,True,0.077069,0.020001,0.036782,0.012239,0.163235,739.525318,ok
1779689583.4426942,resnet50_cuda_client,layer1.0.shortcut.1.bias,Tensor,cuda:0,torch.float32,256,256,True,0.050938,0.014074,0.032510,0.010759,0.118730,739.525318,ok
1779689583.444096,resnet50_cuda_client,layer1.1.conv1.weight,Tensor,cuda:0,torch.float32,64x256x1x1,16384,True,0.065846,0.013861,1.284405,0.022700,1.398132,739.525318,ok
1779689583.4442463,resnet50_cuda_client,layer1.1.bn1.weight,Tensor,cuda:0,torch.float32,64,64,True,0.075953,0.019012,0.023421,0.012411,0.144314,739.525318,ok
1779689583.444361,resnet50_cuda_client,layer1.1.bn1.bias,Tensor,cuda:0,torch.float32,64,64,True,0.051038,0.013891,0.021062,0.011080,0.110618,739.525318,ok
1779689583.4459863,resnet50_cuda_client,layer1.1.conv2.weight,Tensor,cuda:0,torch.float32,64x64x3x3,36864,True,0.084374,0.014989,1.487580,0.022936,1.621338,739.525318,ok
1779689583.4461496,resnet50_cuda_client,layer1.1.bn2.weight,Tensor,cuda:0,torch.float32,64,64,True,0.074634,0.018543,0.039673,0.011622,0.158075,739.525318,ok
1779689583.4462621,resnet50_cuda_client,layer1.1.bn2.bias,Tensor,cuda:0,torch.float32,64,64,True,0.050040,0.013443,0.020738,0.010198,0.104959,739.525318,ok
1779689583.4477363,resnet50_cuda_client,layer1.1.conv3.weight,Tensor,cuda:0,torch.float32,256x64x1x1,16384,True,0.074055,0.014855,1.349958,0.020314,1.470608,739.525318,ok
1779689583.4479043,resnet50_cuda_client,layer1.1.bn3.weight,Tensor,cuda:0,torch.float32,256,256,True,0.076216,0.019379,0.036226,0.017112,0.162589,739.525318,ok
1779689583.4480278,resnet50_cuda_client,layer1.1.bn3.bias,Tensor,cuda:0,torch.float32,256,256,True,0.051592,0.013934,0.032953,0.010351,0.119289,739.525318,ok
1779689583.4494884,resnet50_cuda_client,layer1.2.conv1.weight,Tensor,cuda:0,torch.float32,64x256x1x1,16384,True,0.065343,0.013598,1.346533,0.020015,1.456585,739.525318,ok
1779689583.4496543,resnet50_cuda_client,layer1.2.bn1.weight,Tensor,cuda:0,torch.float32,64,64,True,0.075797,0.019155,0.039989,0.011770,0.160023,739.525318,ok
1779689583.4497664,resnet50_cuda_client,layer1.2.bn1.bias,Tensor,cuda:0,torch.float32,64,64,True,0.049999,0.014713,0.020633,0.011339,0.107697,739.525318,ok
1779689583.4513774,resnet50_cuda_client,layer1.2.conv2.weight,Tensor,cuda:0,torch.float32,64x64x3x3,36864,True,0.086254,0.015227,1.469478,0.020632,1.603249,739.525318,ok
1779689583.451559,resnet50_cuda_client,layer1.2.bn2.weight,Tensor,cuda:0,torch.float32,64,64,True,0.087417,0.019817,0.040419,0.011705,0.176295,739.525318,ok
1779689583.451675,resnet50_cuda_client,layer1.2.bn2.bias,Tensor,cuda:0,torch.float32,64,64,True,0.050709,0.013437,0.020774,0.016293,0.111589,739.525318,ok
1779689583.4531925,resnet50_cuda_client,layer1.2.conv3.weight,Tensor,cuda:0,torch.float32,256x64x1x1,16384,True,0.065516,0.014009,1.402558,0.019771,1.513663,739.525318,ok
1779689583.4533708,resnet50_cuda_client,layer1.2.bn3.weight,Tensor,cuda:0,torch.float32,256,256,True,0.075812,0.019490,0.052208,0.011908,0.173219,739.525318,ok
1779689583.4534953,resnet50_cuda_client,layer1.2.bn3.bias,Tensor,cuda:0,torch.float32,256,256,True,0.050193,0.017120,0.032566,0.009938,0.120003,739.525318,ok
1779689583.4555259,resnet50_cuda_client,layer2.0.conv1.weight,Tensor,cuda:0,torch.float32,128x256x1x1,32768,True,0.086403,0.015138,1.891425,0.020513,2.025367,739.525318,ok
1779689583.4557095,resnet50_cuda_client,layer2.0.bn1.weight,Tensor,cuda:0,torch.float32,128,128,True,0.086649,0.018827,0.046954,0.011496,0.178116,739.525318,ok
1779689583.4558234,resnet50_cuda_client,layer2.0.bn1.bias,Tensor,cuda:0,torch.float32,128,128,True,0.049969,0.013461,0.025762,0.010320,0.109770,739.525318,ok
1779689583.4599862,resnet50_cuda_client,layer2.0.conv2.weight,Tensor,cuda:0,torch.float32,128x128x3x3,147456,True,0.193656,0.019251,3.904780,0.029877,4.158934,739.525318,ok
1779689583.4601593,resnet50_cuda_client,layer2.0.bn2.weight,Tensor,cuda:0,torch.float32,128,128,True,0.076151,0.019426,0.046373,0.012074,0.167907,739.525318,ok
1779689583.4602776,resnet50_cuda_client,layer2.0.bn2.bias,Tensor,cuda:0,torch.float32,128,128,True,0.049963,0.013292,0.025736,0.014210,0.113844,739.525318,ok
1779689583.4634442,resnet50_cuda_client,layer2.0.conv3.weight,Tensor,cuda:0,torch.float32,512x128x1x1,65536,True,0.107585,0.015824,3.003752,0.023765,3.162916,739.525318,ok
1779689583.463648,resnet50_cuda_client,layer2.0.bn3.weight,Tensor,cuda:0,torch.float32,512,512,True,0.089246,0.021326,0.061410,0.012379,0.198519,739.525318,ok
1779689583.463781,resnet50_cuda_client,layer2.0.bn3.bias,Tensor,cuda:0,torch.float32,512,512,True,0.052495,0.013951,0.040499,0.010740,0.128391,739.525318,ok
1779689583.4685876,resnet50_cuda_client,layer2.0.shortcut.0.weight,Tensor,cuda:0,torch.float32,512x256x1x1,131072,True,0.180416,0.019264,4.562595,0.028300,4.802494,739.525318,ok
1779689583.4687693,resnet50_cuda_client,layer2.0.shortcut.1.weight,Tensor,cuda:0,torch.float32,512,512,True,0.078548,0.020087,0.045381,0.014772,0.176308,739.525318,ok
