model,round_type,round_index,threshold,cuda_layers,cpu_fallback_layers,cuda_original_mb,cpu_original_mb,full_gradient_D2H_avoided_mb,D2H_payload_mb,kernel_launch_count,cuda_kernel_ms,cuda_wall_ms,state_lookup_ms,payload_d2h_ms,payload_assembly_ms,state_commit_ms,cpu_fallback_ms,model_total_ms,cpu_baseline_model_total_ms,speedup_vs_cpu,ratio_delta,compression_ratio,correctness_status
resnet50,round0,0,262144,28,238,83.500000,6.427490,0.000000,83.500000,0,0.000000,0.000000,0.000000,49.504203,49.504203,6.896153,99.033855,242.124548,733.135919,3.027929,-0.726834,1.048720,not_checked_by_benchmark
resnet50,hot,1,262144,28,238,83.500000,6.427490,0.000000,84.970494,28,33.034144,34.938042,24.907758,46.313451,138.015478,2.088068,125.394972,408.014305,1016.205217,2.490612,-0.725565,1.030925,not_checked_by_benchmark
resnet50,hot,2,262144,28,238,83.500000,6.427490,0.000000,84.970654,28,32.856160,35.043369,7.826072,63.651286,125.038099,1.681933,127.736673,384.009274,1015.891773,2.645488,-0.726089,1.030912,not_checked_by_benchmark
resnet50,round0,0,524288,17,249,72.500000,17.427490,0.000000,72.500000,0,0.000000,0.000000,0.000000,32.685234,32.685234,1.131576,182.061740,282.609343,733.135919,2.594167,-0.698236,1.158509,not_checked_by_benchmark
resnet50,hot,1,524288,17,249,72.500000,17.427490,0.000000,73.626440,17,24.962080,26.152380,5.442989,42.345538,91.301920,1.335769,260.121491,463.500154,1016.205217,2.192459,-0.696304,1.140848,not_checked_by_benchmark
resnet50,hot,2,524288,17,249,72.500000,17.427490,0.000000,73.626600,17,24.977408,26.236190,5.586004,41.744183,90.874403,1.072642,276.765281,468.081651,1015.891773,2.170330,-0.696855,1.140942,not_checked_by_benchmark
resnet50,round0,0,1048576,9,257,55.000000,34.927490,0.000000,55.000000,0,0.000000,0.000000,0.000000,24.974387,24.974387,0.599335,310.188894,363.167321,733.135919,2.018728,-0.637702,1.390908,not_checked_by_benchmark
resnet50,hot,1,1048576,9,257,55.000000,34.927490,0.000000,55.959462,9,21.361760,21.968358,2.900976,47.391019,87.484487,0.570887,440.875869,609.345346,1016.205217,1.667700,-0.635913,1.367708,not_checked_by_benchmark
resnet50,hot,2,1048576,9,257,55.000000,34.927490,0.000000,55.959465,9,21.363648,22.399709,2.818236,35.431304,74.867186,0.566885,412.923187,576.026020,1015.891773,1.763621,-0.636516,1.368036,not_checked_by_benchmark
resnet18,round0,0,262144,8,93,39.375000,3.286865,0.000000,39.375000,0,0.000000,0.000000,0.000000,17.046518,17.046518,0.579799,45.663487,87.476272,321.487958,3.675145,-0.725432,1.055580,not_checked_by_benchmark
resnet18,hot,1,262144,8,93,39.375000,3.286865,0.000000,39.497698,8,2.060224,2.631031,2.642592,20.028062,31.603739,0.497216,59.397870,141.610511,405.994268,2.866978,-0.724241,1.052191,not_checked_by_benchmark
resnet18,hot,2,262144,8,93,39.375000,3.286865,0.000000,39.497933,8,2.058176,2.592536,2.542003,19.762779,31.496143,0.499200,56.104244,108.792408,394.017797,3.621740,-0.723159,1.052078,not_checked_by_benchmark
resnet18,round0,0,524288,7,94,38.250000,4.411865,0.000000,38.250000,0,0.000000,0.000000,0.000000,18.172172,18.172172,0.513298,51.675344,85.912695,321.487958,3.742031,-0.719704,1.077602,not_checked_by_benchmark
resnet18,hot,1,524288,7,94,38.250000,4.411865,0.000000,38.369167,7,1.992672,2.482554,2.305157,17.991567,29.204735,0.448463,70.810989,143.225409,405.994268,2.834653,-0.718484,1.074156,not_checked_by_benchmark
resnet18,hot,2,524288,7,94,38.250000,4.411865,0.000000,38.369394,7,1.994656,2.478538,2.291303,19.195329,30.061348,0.436120,66.517931,119.010858,394.017797,3.310772,-0.717399,1.073966,not_checked_by_benchmark
resnet18,round0,0,1048576,4,97,31.500000,11.161865,0.000000,31.500000,0,0.000000,0.000000,0.000000,14.723961,14.723961,0.310131,98.619123,128.849827,321.487958,2.495059,-0.679153,1.233502,not_checked_by_benchmark
resnet18,hot,1,1048576,4,97,31.500000,11.161865,0.000000,31.598210,4,1.619904,1.903309,1.447609,14.503099,23.201443,0.258655,131.036653,173.041296,405.994268,2.346228,-0.677910,1.228973,not_checked_by_benchmark
resnet18,hot,2,1048576,4,97,31.500000,11.161865,0.000000,31.598325,4,1.623040,1.907662,1.479204,14.809289,23.478374,0.254250,125.394032,174.252762,394.017797,2.261185,-0.676680,1.228711,not_checked_by_benchmark
