model,threshold,round_index,round_type,codec_mode,layer_name,layer_key,shape,dtype,numel,backend,c_type,c_codec,cpu_payload_bytes,cuda_v0_payload_bytes,cuda_payload_bytes,full_residual_bytes,compact_intermediate_d2h_bytes,compact_vs_full_residual_pct,final_payload_bytes,payload_growth_factor,lost_compression_bytes,ratio_delta,decode_status,codec_failure_reason,state_committed,cuda_kernel_ms,cuda_payload_d2h_ms,cpu_payload_assembly_ms,cpu_reconstruct_input_ms,cpu_encoder_ms,cuda_state_commit_ms,cpu_fallback_ms
resnet50,262144,0,round0,raw_v0,conv1.weight,conv1.weight|torch.float32|64x3x3x3,64x3x3x3,float32,1728,cpu,direct,sz3,5540,5540,5540,0,0,0.0,5540,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,1.3996697962284088
resnet50,262144,0,round0,raw_v0,bn1.weight,bn1.weight|torch.float32|64,64,float32,64,cpu,direct,zstd,266,266,266,0,0,0.0,266,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.21163281053304672
resnet50,262144,0,round0,raw_v0,bn1.bias,bn1.bias|torch.float32|64,64,float32,64,cpu,direct,zstd,266,266,266,0,0,0.0,266,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.12796279042959213
resnet50,262144,0,round0,raw_v0,layer1.0.conv1.weight,layer1.0.conv1.weight|torch.float32|64x64x1x1,64x64x1x1,float32,4096,cpu,direct,sz3,8355,8355,8355,0,0,0.0,8355,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.9745610877871513
resnet50,262144,0,round0,raw_v0,layer1.0.bn1.weight,layer1.0.bn1.weight|torch.float32|64,64,float32,64,cpu,direct,zstd,266,266,266,0,0,0.0,266,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1727081835269928
resnet50,262144,0,round0,raw_v0,layer1.0.bn1.bias,layer1.0.bn1.bias|torch.float32|64,64,float32,64,cpu,direct,zstd,266,266,266,0,0,0.0,266,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.11828728020191193
resnet50,262144,0,round0,raw_v0,layer1.0.conv2.weight,layer1.0.conv2.weight|torch.float32|64x64x3x3,64x64x3x3,float32,36864,cpu,direct,sz3,45023,45023,45023,0,0,0.0,45023,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,2.031872048974037
resnet50,262144,0,round0,raw_v0,layer1.0.bn2.weight,layer1.0.bn2.weight|torch.float32|64,64,float32,64,cpu,direct,zstd,266,266,266,0,0,0.0,266,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.16254931688308716
resnet50,262144,0,round0,raw_v0,layer1.0.bn2.bias,layer1.0.bn2.bias|torch.float32|64,64,float32,64,cpu,direct,zstd,266,266,266,0,0,0.0,266,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.11769961565732956
resnet50,262144,0,round0,raw_v0,layer1.0.conv3.weight,layer1.0.conv3.weight|torch.float32|256x64x1x1,256x64x1x1,float32,16384,cpu,direct,sz3,20997,20997,20997,0,0,0.0,20997,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,1.5208516269922256
resnet50,262144,0,round0,raw_v0,layer1.0.bn3.weight,layer1.0.bn3.weight|torch.float32|256,256,float32,256,cpu,direct,zstd,1011,1011,1011,0,0,0.0,1011,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.17052888870239258
resnet50,262144,0,round0,raw_v0,layer1.0.bn3.bias,layer1.0.bn3.bias|torch.float32|256,256,float32,256,cpu,direct,zstd,1002,1002,1002,0,0,0.0,1002,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1313909888267517
resnet50,262144,0,round0,raw_v0,layer1.0.shortcut.0.weight,layer1.0.shortcut.0.weight|torch.float32|256x64x1x1,256x64x1x1,float32,16384,cpu,direct,sz3,22401,22401,22401,0,0,0.0,22401,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,1.9763782620429993
resnet50,262144,0,round0,raw_v0,layer1.0.shortcut.1.weight,layer1.0.shortcut.1.weight|torch.float32|256,256,float32,256,cpu,direct,zstd,1007,1007,1007,0,0,0.0,1007,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.16751326620578766
resnet50,262144,0,round0,raw_v0,layer1.0.shortcut.1.bias,layer1.0.shortcut.1.bias|torch.float32|256,256,float32,256,cpu,direct,zstd,1010,1010,1010,0,0,0.0,1010,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.12951437383890152
resnet50,262144,0,round0,raw_v0,layer1.1.conv1.weight,layer1.1.conv1.weight|torch.float32|64x256x1x1,64x256x1x1,float32,16384,cpu,direct,sz3,21805,21805,21805,0,0,0.0,21805,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,1.6314247623085976
resnet50,262144,0,round0,raw_v0,layer1.1.bn1.weight,layer1.1.bn1.weight|torch.float32|64,64,float32,64,cpu,direct,zstd,266,266,266,0,0,0.0,266,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.16626901924610138
resnet50,262144,0,round0,raw_v0,layer1.1.bn1.bias,layer1.1.bn1.bias|torch.float32|64,64,float32,64,cpu,direct,zstd,266,266,266,0,0,0.0,266,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.13017654418945312
resnet50,262144,0,round0,raw_v0,layer1.1.conv2.weight,layer1.1.conv2.weight|torch.float32|64x64x3x3,64x64x3x3,float32,36864,cpu,direct,sz3,44101,44101,44101,0,0,0.0,44101,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,1.6105100512504578
resnet50,262144,0,round0,raw_v0,layer1.1.bn2.weight,layer1.1.bn2.weight|torch.float32|64,64,float32,64,cpu,direct,zstd,266,266,266,0,0,0.0,266,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.15322770923376083
resnet50,262144,0,round0,raw_v0,layer1.1.bn2.bias,layer1.1.bn2.bias|torch.float32|64,64,float32,64,cpu,direct,zstd,266,266,266,0,0,0.0,266,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.11766701936721802
resnet50,262144,0,round0,raw_v0,layer1.1.conv3.weight,layer1.1.conv3.weight|torch.float32|256x64x1x1,256x64x1x1,float32,16384,cpu,direct,sz3,22798,22798,22798,0,0,0.0,22798,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,1.5552770346403122
resnet50,262144,0,round0,raw_v0,layer1.1.bn3.weight,layer1.1.bn3.weight|torch.float32|256,256,float32,256,cpu,direct,zstd,1008,1008,1008,0,0,0.0,1008,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1625344157218933
resnet50,262144,0,round0,raw_v0,layer1.1.bn3.bias,layer1.1.bn3.bias|torch.float32|256,256,float32,256,cpu,direct,zstd,1007,1007,1007,0,0,0.0,1007,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1278342679142952
resnet50,262144,0,round0,raw_v0,layer1.2.conv1.weight,layer1.2.conv1.weight|torch.float32|64x256x1x1,64x256x1x1,float32,16384,cpu,direct,sz3,22311,22311,22311,0,0,0.0,22311,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,1.4968235045671463
resnet50,262144,0,round0,raw_v0,layer1.2.bn1.weight,layer1.2.bn1.weight|torch.float32|64,64,float32,64,cpu,direct,zstd,266,266,266,0,0,0.0,266,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.15001557767391205
resnet50,262144,0,round0,raw_v0,layer1.2.bn1.bias,layer1.2.bn1.bias|torch.float32|64,64,float32,64,cpu,direct,zstd,266,266,266,0,0,0.0,266,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.11530239135026932
resnet50,262144,0,round0,raw_v0,layer1.2.conv2.weight,layer1.2.conv2.weight|torch.float32|64x64x3x3,64x64x3x3,float32,36864,cpu,direct,sz3,43153,43153,43153,0,0,0.0,43153,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,1.6573453322052956
resnet50,262144,0,round0,raw_v0,layer1.2.bn2.weight,layer1.2.bn2.weight|torch.float32|64,64,float32,64,cpu,direct,zstd,266,266,266,0,0,0.0,266,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.17088279128074646
resnet50,262144,0,round0,raw_v0,layer1.2.bn2.bias,layer1.2.bn2.bias|torch.float32|64,64,float32,64,cpu,direct,zstd,266,266,266,0,0,0.0,266,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.11944584548473358
resnet50,262144,0,round0,raw_v0,layer1.2.conv3.weight,layer1.2.conv3.weight|torch.float32|256x64x1x1,256x64x1x1,float32,16384,cpu,direct,sz3,22781,22781,22781,0,0,0.0,22781,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0332915484905243
resnet50,262144,0,round0,raw_v0,layer1.2.bn3.weight,layer1.2.bn3.weight|torch.float32|256,256,float32,256,cpu,direct,zstd,1009,1009,1009,0,0,0.0,1009,1.0,0,0.0,not_checked,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.17783697694540024
