model,threshold,round_index,round_type,codec_mode,layer_name,shape,numel,backend,cpu_payload_bytes,cuda_v0_payload_bytes,cuda_payload_bytes,payload_growth_factor,lost_compression_bytes,full_residual_bytes,compact_intermediate_d2h_bytes,compact_vs_full_residual_pct,cuda_kernel_ms,cuda_payload_d2h_ms,cpu_payload_assembly_ms,cpu_reconstruct_input_ms,cpu_encoder_ms,cuda_state_commit_ms,cpu_fallback_ms,decode_status,codec_failure_reason,state_committed
resnet18,262144,0,round0,raw_v0,conv1.weight,64x3x3x3,1728,cpu,5045,5045,5045,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6860635951161385,not_checked,,1
resnet18,262144,0,round0,raw_v0,bn1.weight,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2430630847811699,not_checked,,1
resnet18,262144,0,round0,raw_v0,bn1.bias,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13444293290376663,not_checked,,1
resnet18,262144,0,round0,raw_v0,bn1.running_mean,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12702029198408127,not_checked,,1
resnet18,262144,0,round0,raw_v0,bn1.running_var,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1264326274394989,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.0.conv1.weight,64x64x3x3,36864,cpu,43661,43661,43661,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.897246576845646,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.0.bn1.weight,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18980074673891068,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.0.bn1.bias,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12438278645277023,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.0.bn1.running_mean,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11946726590394974,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.0.bn1.running_var,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12203399091959,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.0.conv2.weight,64x64x3x3,36864,cpu,44169,44169,44169,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6999328508973122,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.0.bn2.weight,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17317663878202438,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.0.bn2.bias,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13134535402059555,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.0.bn2.running_mean,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11554919183254242,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.0.bn2.running_var,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11730939149856567,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.1.conv1.weight,64x64x3x3,36864,cpu,44422,44422,44422,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5472928062081337,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.1.bn1.weight,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16173627227544785,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.1.bn1.bias,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11852849274873734,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.1.bn1.running_mean,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11043064296245575,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.1.bn1.running_var,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12196041643619537,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.1.conv2.weight,64x64x3x3,36864,cpu,44225,44225,44225,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5656361356377602,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.1.bn2.weight,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16106106340885162,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.1.bn2.bias,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12023933231830597,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.1.bn2.running_mean,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11572148650884628,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer1.1.bn2.running_var,64,64,cpu,266,266,266,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11547468602657318,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.0.conv1.weight,128x64x3x3,73728,cpu,84077,84077,84077,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7478905394673347,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.0.bn1.weight,128,128,cpu,522,522,522,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17377454787492752,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.0.bn1.bias,128,128,cpu,522,522,522,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13128668069839478,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.0.bn1.running_mean,128,128,cpu,522,522,522,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12388546019792557,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.0.bn1.running_var,128,128,cpu,522,522,522,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12204609811306,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.0.conv2.weight,128x128x3x3,147456,cpu,160161,160161,160161,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.449225030839443,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.0.bn2.weight,128,128,cpu,522,522,522,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17255637794733047,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.0.bn2.bias,128,128,cpu,522,522,522,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1299222931265831,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.0.bn2.running_mean,128,128,cpu,522,522,522,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12393295764923096,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.0.bn2.running_var,128,128,cpu,522,522,522,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12719258666038513,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.0.shortcut.0.weight,128x64x1x1,8192,cpu,13756,13756,13756,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1871866881847382,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.0.shortcut.1.weight,128,128,cpu,522,522,522,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1619448885321617,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.0.shortcut.1.bias,128,128,cpu,522,522,522,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14177709817886353,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.0.shortcut.1.running_mean,128,128,cpu,522,522,522,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1281239092350006,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.0.shortcut.1.running_var,128,128,cpu,522,522,522,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12179464101791382,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.1.conv1.weight,128x128x3x3,147456,cpu,158190,158190,158190,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2277611792087555,not_checked,,1
resnet18,262144,0,round0,raw_v0,layer2.1.bn1.weight,128,128,cpu,522,522,522,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17419643700122833,not_checked,,1
