model,threshold,round_index,round_type,codec_mode,layer_name,shape,numel,backend,cpu_payload_bytes,cuda_v0_payload_bytes,cuda_payload_bytes,payload_growth_factor,lost_compression_bytes,full_residual_bytes,compact_intermediate_d2h_bytes,compact_vs_full_residual_pct,cuda_kernel_ms,cuda_payload_d2h_ms,cpu_payload_assembly_ms,cpu_reconstruct_input_ms,cpu_encoder_ms,cuda_state_commit_ms,cpu_fallback_ms,decode_status,codec_failure_reason,state_committed
resnet50,262144,1,hot,raw_v0,layer4.0.conv2.weight,512x512x3x3,2359296,cuda,2392209,9466648,9466648,3.957282996594361,7074439,9437184,9437184,100.0,0.46185600757598877,4.718249663710594,0.0,0.0,0.0,0.07082987576723099,0.0,not_checked,,1
resnet50,524288,1,hot,raw_v0,layer4.0.conv2.weight,512x512x3x3,2359296,cuda,2392209,9466648,9466648,3.957282996594361,7074439,9437184,9437184,100.0,0.4617919921875,4.4876281172037125,0.0,0.0,0.0,0.07256492972373962,0.0,not_checked,,1
resnet50,1048576,1,hot,raw_v0,layer4.0.conv2.weight,512x512x3x3,2359296,cuda,2392209,9466648,9466648,3.957282996594361,7074439,9437184,9437184,100.0,0.4679360091686249,4.213356412947178,0.0,0.0,0.0,0.08670426905155182,0.0,not_checked,,1
resnet50,262144,0,round0,raw_v0,layer4.1.conv2.weight,512x512x3x3,2359296,cuda,2371562,9437184,9437184,3.979311525484048,7065622,9437184,9437184,100.0,0.0,6.410537287592888,0.0,0.0,0.0,0.24227891117334366,0.0,not_checked,,1
resnet50,524288,0,round0,raw_v0,layer4.1.conv2.weight,512x512x3x3,2359296,cuda,2371562,9437184,9437184,3.979311525484048,7065622,9437184,9437184,100.0,0.0,7.9565877094864845,0.0,0.0,0.0,0.08881278336048126,0.0,not_checked,,1
resnet50,1048576,0,round0,raw_v0,layer4.1.conv2.weight,512x512x3x3,2359296,cuda,2371562,9437184,9437184,3.979311525484048,7065622,9437184,9437184,100.0,0.0,4.702703095972538,0.0,0.0,0.0,0.07336586713790894,0.0,not_checked,,1
resnet50,262144,2,hot,raw_v0,layer4.1.conv2.weight,512x512x3x3,2359296,cuda,2407612,9466668,9466668,3.9319740888482033,7059056,9437184,9437184,100.0,0.45977601408958435,6.553487852215767,0.0,0.0,0.0,0.07057283073663712,0.0,not_checked,,1
resnet50,524288,2,hot,raw_v0,layer4.1.conv2.weight,512x512x3x3,2359296,cuda,2407612,9466668,9466668,3.9319740888482033,7059056,9437184,9437184,100.0,0.4618239998817444,4.767115227878094,0.0,0.0,0.0,0.07078796625137329,0.0,not_checked,,1
resnet50,1048576,2,hot,raw_v0,layer4.1.conv2.weight,512x512x3x3,2359296,cuda,2407612,9466668,9466668,3.9319740888482033,7059056,9437184,9437184,100.0,0.4628159999847412,6.192438304424286,0.0,0.0,0.0,0.07068086415529251,0.0,not_checked,,1
resnet50,262144,2,hot,raw_v0,layer4.2.conv2.weight,512x512x3x3,2359296,cuda,2410105,9466637,9466637,3.92789401291645,7056532,9437184,9437184,100.0,0.4618239998817444,8.431630209088326,0.0,0.0,0.0,0.0685686245560646,0.0,not_checked,,1
resnet50,524288,2,hot,raw_v0,layer4.2.conv2.weight,512x512x3x3,2359296,cuda,2410105,9466637,9466637,3.92789401291645,7056532,9437184,9437184,100.0,0.4628159999847412,10.198374278843403,0.0,0.0,0.0,0.07023010402917862,0.0,not_checked,,1
resnet50,1048576,2,hot,raw_v0,layer4.2.conv2.weight,512x512x3x3,2359296,cuda,2410105,9466637,9466637,3.92789401291645,7056532,9437184,9437184,100.0,0.46083199977874756,12.204327620565891,0.0,0.0,0.0,0.07915124297142029,0.0,not_checked,,1
resnet50,262144,0,round0,raw_v0,layer4.2.conv2.weight,512x512x3x3,2359296,cuda,2382058,9437184,9437184,3.961777588958791,7055126,9437184,9437184,100.0,0.0,4.300429485738277,0.0,0.0,0.0,0.22710580378770828,0.0,not_checked,,1
resnet50,524288,0,round0,raw_v0,layer4.2.conv2.weight,512x512x3x3,2359296,cuda,2382058,9437184,9437184,3.961777588958791,7055126,9437184,9437184,100.0,0.0,8.470436558127403,0.0,0.0,0.0,0.07284712046384811,0.0,not_checked,,1
resnet50,1048576,0,round0,raw_v0,layer4.2.conv2.weight,512x512x3x3,2359296,cuda,2382058,9437184,9437184,3.961777588958791,7055126,9437184,9437184,100.0,0.0,6.038011983036995,0.0,0.0,0.0,0.08512847125530243,0.0,not_checked,,1
resnet50,262144,0,round0,raw_v0,layer4.0.conv2.weight,512x512x3x3,2359296,cuda,2382579,9437184,9437184,3.9609112646422218,7054605,9437184,9437184,100.0,0.0,4.2397864162921906,0.0,0.0,0.0,0.07266923785209656,0.0,not_checked,,1
resnet50,524288,0,round0,raw_v0,layer4.0.conv2.weight,512x512x3x3,2359296,cuda,2382579,9437184,9437184,3.9609112646422218,7054605,9437184,9437184,100.0,0.0,4.1753798723220825,0.0,0.0,0.0,0.07454399019479752,0.0,not_checked,,1
resnet50,1048576,0,round0,raw_v0,layer4.0.conv2.weight,512x512x3x3,2359296,cuda,2382579,9437184,9437184,3.9609112646422218,7054605,9437184,9437184,100.0,0.0,4.336588084697723,0.0,0.0,0.0,0.13341661542654037,0.0,not_checked,,1
resnet50,262144,1,hot,raw_v0,layer4.2.conv2.weight,512x512x3x3,2359296,cuda,2434930,9466654,9466654,3.8878546816540926,7031724,9437184,9437184,100.0,0.4617919921875,4.169179126620293,0.0,0.0,0.0,0.37164799869060516,0.0,not_checked,,1
resnet50,524288,1,hot,raw_v0,layer4.2.conv2.weight,512x512x3x3,2359296,cuda,2434930,9466654,9466654,3.8878546816540926,7031724,9437184,9437184,100.0,0.4617919921875,7.905703969299793,0.0,0.0,0.0,0.06899237632751465,0.0,not_checked,,1
