model,round_index,round_type,threshold,quant_bits,mode,cpu_threads,original_mb,cuda_layers,cpu_fallback_layers,cuda_original_mb,fallback_original_mb,compress_total_ms,decompress_total_ms,roundtrip_total_ms,cpu_safe_grouped_compress_ms,cpu_safe_grouped_decompress_ms,cpu_safe_grouped_roundtrip_ms,speedup_vs_cpu_safe_grouped,roundtrip_speedup_vs_cpu_safe_grouped,kernel_ms,payload_d2h_ms,payload_serialize_ms,payload_deserialize_ms,cpu_fallback_ms,fallback_gpu_to_cpu_ms,experimental_payload_d2h_mb,final_payload_bytes,cpu_safe_grouped_payload_bytes,compression_ratio,cpu_safe_grouped_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,cosine_similarity,sign_agreement,finite_rate,decode_status,correctness_status,classification
resnet50,0,round0,262144,8,gpu_v2_experimental,8,89.927490,28,238,83.500000,6.427490,216.945372,114.968086,331.913457,735.268590,689.721142,1424.989732,3.389188,4.293257,35.403593,14.833225,11.842814,40.626386,78.795229,10.785393,20.875000,24276549,24561786,3.884234,3.839127,1.011749,0.000225247,0.011509956,1.000000000,0.984721243,1.000000000,pass,pass,strong_success
resnet50,1,hot,262144,8,gpu_v2_experimental,8,89.927490,28,238,83.500000,6.427490,165.923970,106.075467,271.999436,1086.971239,991.437815,2078.409054,6.551020,7.641226,5.152292,12.114828,6.649555,20.850068,89.831879,10.945714,20.875000,24286349,25101758,3.882667,3.756542,1.033575,0.008403894,0.019294994,1.000000000,0.993643343,1.000000000,pass,pass,strong_success
resnet50,2,hot,262144,8,gpu_v2_experimental,8,89.927490,28,238,83.500000,6.427490,164.695111,96.094639,260.789750,1034.507087,809.790260,1844.297348,6.281347,7.071970,3.282793,11.915870,9.373755,19.714353,93.736997,11.190224,20.875000,24287383,25054171,3.882502,3.763677,1.031571,0.005301053,0.024543921,1.000000000,0.992251813,1.000000000,pass,pass,strong_success
resnet50,0,round0,262144,4,gpu_v2_experimental,8,89.927490,28,238,83.500000,6.427490,194.581385,105.426665,300.008050,735.268590,689.721142,1424.989732,3.778720,4.749838,3.394509,31.013752,10.141242,38.480498,80.939348,11.288932,10.437500,13332037,24561786,7.072873,3.839127,1.842313,0.004086624,0.207543895,0.980783641,0.731391013,1.000000000,pass,fail,stop_correctness_failed
resnet50,1,hot,262144,4,gpu_v2_experimental,8,89.927490,28,238,83.500000,6.427490,202.739616,114.360645,317.100261,1086.971239,991.437815,2078.409054,5.361415,6.554422,3.418664,30.090643,9.164901,38.555189,91.526288,11.043118,10.437500,13341837,25101758,7.067678,3.756542,1.881432,0.009484448,0.349213213,0.946077645,0.836502075,1.000000000,pass,fail,stop_correctness_failed
resnet50,2,hot,262144,4,gpu_v2_experimental,8,89.927490,28,238,83.500000,6.427490,204.741330,123.820584,328.561914,1034.507087,809.790260,1844.297348,5.052752,5.613241,3.532728,30.032834,9.671556,46.460661,90.625341,11.185608,10.437500,13342871,25054171,7.067130,3.763677,1.877720,0.014661524,0.444672614,0.914757848,0.847145081,1.000000000,pass,fail,stop_correctness_failed
resnet50,0,round0,524288,8,gpu_v2_experimental,8,89.927490,17,249,72.500000,17.427490,247.076058,157.896218,404.972276,735.268590,689.721142,1424.989732,2.975880,3.518734,2.174853,10.812341,20.766066,16.619423,164.297954,14.492559,18.125000,24409317,24561786,3.863107,3.839127,1.006246,0.000225247,0.011045524,1.000000000,0.986281991,1.000000000,pass,pass,strong_success
resnet50,1,hot,524288,8,gpu_v2_experimental,8,89.927490,17,249,72.500000,17.427490,298.065302,187.695647,485.760949,1086.971239,991.437815,2078.409054,3.646755,4.278666,2.157190,10.364386,8.613162,21.023483,229.987927,15.602243,18.125000,24487943,25101758,3.850704,3.756542,1.025066,0.008403894,0.018260572,1.000000000,0.994185805,1.000000000,pass,pass,strong_success
resnet50,2,hot,524288,8,gpu_v2_experimental,8,89.927490,17,249,72.500000,17.427490,265.682330,182.417434,448.099764,1034.507087,809.790260,1844.297348,3.893775,4.115819,2.234561,10.215322,5.290567,16.502710,203.093731,15.030849,18.125000,24480978,25054171,3.851799,3.763677,1.023414,0.005301053,0.023112655,1.000000000,0.992983282,1.000000000,pass,pass,strong_success
resnet50,0,round0,524288,4,gpu_v2_experimental,8,89.927490,17,249,72.500000,17.427490,264.309909,174.989537,439.299447,735.268590,689.721142,1424.989732,2.781843,3.243778,2.261663,27.157726,10.022651,33.150220,159.848505,14.634332,9.062500,14906597,24561786,6.325777,3.839127,1.647712,0.004086624,0.196278587,0.982942104,0.763064146,1.000000000,pass,fail,stop_correctness_failed
resnet50,1,hot,524288,4,gpu_v2_experimental,8,89.927490,17,249,72.500000,17.427490,309.868067,267.051597,576.919664,1086.971239,991.437815,2078.409054,3.507852,3.602597,2.277604,26.230993,7.997409,33.299116,208.529375,14.848374,9.062500,14985223,25101758,6.292586,3.756542,1.675101,0.009484448,0.328761995,0.951993108,0.855782151,1.000000000,pass,fail,stop_correctness_failed
resnet50,2,hot,524288,4,gpu_v2_experimental,8,89.927490,17,249,72.500000,17.427490,315.735493,195.037585,510.773078,1034.507087,809.790260,1844.297348,3.276499,3.610796,2.327959,26.144562,11.771067,34.265759,209.969267,15.002737,9.062500,14978258,25054171,6.295512,3.763677,1.672703,0.014661524,0.417228162,0.923933268,0.865513682,1.000000000,pass,fail,stop_correctness_failed
resnet50,0,round0,1048576,8,gpu_v2_experimental,8,89.927490,9,257,55.000000,34.927490,360.013706,286.430467,646.444173,735.268590,689.721142,1424.989732,2.042335,2.204351,1.277616,7.883216,14.988130,16.139765,282.877269,20.237551,13.750000,24574368,24561786,3.837161,3.839127,0.999488,0.000225247,0.010193827,1.000000000,0.988893986,1.000000000,pass,pass,strong_success
resnet50,1,hot,1048576,8,gpu_v2_experimental,8,89.927490,9,257,55.000000,34.927490,431.801882,343.887815,775.689697,1086.971239,991.437815,2078.409054,2.517292,2.679434,1.402511,7.555938,8.977467,16.952392,364.378910,20.603641,13.750000,24718104,25101758,3.814848,3.756542,1.015521,0.008403894,0.016308028,1.000000000,0.995081186,1.000000000,pass,pass,strong_success
resnet50,2,hot,1048576,8,gpu_v2_experimental,8,89.927490,9,257,55.000000,34.927490,420.027695,329.984216,750.011911,1034.507087,809.790260,1844.297348,2.462950,2.459024,1.275617,7.598043,7.600029,14.230737,355.387156,20.958137,13.750000,24701574,25054171,3.817401,3.763677,1.014274,0.005301053,0.020446373,1.000000000,0.994183064,1.000000000,pass,pass,strong_success
resnet50,0,round0,1048576,4,gpu_v2_experimental,8,89.927490,9,257,55.000000,34.927490,382.430547,295.573490,678.004037,735.268590,689.721142,1424.989732,1.922620,2.101742,1.411455,21.142246,11.496996,26.477378,284.360053,19.863707,6.875000,17365408,24561786,5.430095,3.839127,1.414409,0.004086624,0.175206855,0.986076891,0.815449357,1.000000000,pass,fail,stop_correctness_failed
resnet50,1,hot,1048576,4,gpu_v2_experimental,8,89.927490,9,257,55.000000,34.927490,509.256735,416.495491,925.752225,1086.971239,991.437815,2078.409054,2.134427,2.245103,1.346786,20.436246,14.846415,31.032377,403.299022,22.856100,6.875000,17509144,25101758,5.385518,3.756542,1.433637,0.009379990,0.289713025,0.962258697,0.888191521,1.000000000,pass,fail,stop_correctness_failed
resnet50,2,hot,1048576,4,gpu_v2_experimental,8,89.927490,9,257,55.000000,34.927490,477.713247,363.124755,840.838002,1034.507087,809.790260,1844.297348,2.165540,2.193404,1.429605,20.125680,11.619718,28.630060,377.915676,21.888840,6.875000,17492614,25054171,5.390607,3.763677,1.432271,0.014234360,0.365834236,0.940075397,0.896303177,1.000000000,pass,fail,stop_correctness_failed
