model,round_index,round_type,threshold,quant_mode,layer_name,layer_key,backend,step,shape,numel,payload_length,quant_bits_layer,quant_mode_layer,fallback_reason
resnet50,0,round0,262144,8,layer3.0.conv2.weight,layer3.0.conv2.weight|torch.float32|256x256x3x3,cuda,1,256x256x3x3,589824,589824,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.0.conv3.weight,layer3.0.conv3.weight|torch.float32|1024x256x1x1,cuda,1,1024x256x1x1,262144,262144,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.0.shortcut.0.weight,layer3.0.shortcut.0.weight|torch.float32|1024x512x1x1,cuda,1,1024x512x1x1,524288,524288,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.1.conv1.weight,layer3.1.conv1.weight|torch.float32|256x1024x1x1,cuda,1,256x1024x1x1,262144,262144,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.1.conv2.weight,layer3.1.conv2.weight|torch.float32|256x256x3x3,cuda,1,256x256x3x3,589824,589824,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.1.conv3.weight,layer3.1.conv3.weight|torch.float32|1024x256x1x1,cuda,1,1024x256x1x1,262144,262144,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.2.conv1.weight,layer3.2.conv1.weight|torch.float32|256x1024x1x1,cuda,1,256x1024x1x1,262144,262144,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.2.conv2.weight,layer3.2.conv2.weight|torch.float32|256x256x3x3,cuda,1,256x256x3x3,589824,589824,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.2.conv3.weight,layer3.2.conv3.weight|torch.float32|1024x256x1x1,cuda,1,1024x256x1x1,262144,262144,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.3.conv1.weight,layer3.3.conv1.weight|torch.float32|256x1024x1x1,cuda,1,256x1024x1x1,262144,262144,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.3.conv2.weight,layer3.3.conv2.weight|torch.float32|256x256x3x3,cuda,1,256x256x3x3,589824,589824,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.3.conv3.weight,layer3.3.conv3.weight|torch.float32|1024x256x1x1,cuda,1,1024x256x1x1,262144,262144,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.4.conv1.weight,layer3.4.conv1.weight|torch.float32|256x1024x1x1,cuda,1,256x1024x1x1,262144,262144,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.4.conv2.weight,layer3.4.conv2.weight|torch.float32|256x256x3x3,cuda,1,256x256x3x3,589824,589824,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.4.conv3.weight,layer3.4.conv3.weight|torch.float32|1024x256x1x1,cuda,1,1024x256x1x1,262144,262144,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.5.conv1.weight,layer3.5.conv1.weight|torch.float32|256x1024x1x1,cuda,1,256x1024x1x1,262144,262144,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.5.conv2.weight,layer3.5.conv2.weight|torch.float32|256x256x3x3,cuda,1,256x256x3x3,589824,589824,8,symmetric_int8,
resnet50,0,round0,262144,8,layer3.5.conv3.weight,layer3.5.conv3.weight|torch.float32|1024x256x1x1,cuda,1,1024x256x1x1,262144,262144,8,symmetric_int8,
resnet50,0,round0,262144,8,layer4.0.conv1.weight,layer4.0.conv1.weight|torch.float32|512x1024x1x1,cuda,1,512x1024x1x1,524288,524288,8,symmetric_int8,
resnet50,0,round0,262144,8,layer4.0.conv2.weight,layer4.0.conv2.weight|torch.float32|512x512x3x3,cuda,1,512x512x3x3,2359296,2359296,8,symmetric_int8,
resnet50,0,round0,262144,8,layer4.0.conv3.weight,layer4.0.conv3.weight|torch.float32|2048x512x1x1,cuda,1,2048x512x1x1,1048576,1048576,8,symmetric_int8,
resnet50,0,round0,262144,8,layer4.0.shortcut.0.weight,layer4.0.shortcut.0.weight|torch.float32|2048x1024x1x1,cuda,1,2048x1024x1x1,2097152,2097152,8,symmetric_int8,
resnet50,0,round0,262144,8,layer4.1.conv1.weight,layer4.1.conv1.weight|torch.float32|512x2048x1x1,cuda,1,512x2048x1x1,1048576,1048576,8,symmetric_int8,
resnet50,0,round0,262144,8,layer4.1.conv2.weight,layer4.1.conv2.weight|torch.float32|512x512x3x3,cuda,1,512x512x3x3,2359296,2359296,8,symmetric_int8,
resnet50,0,round0,262144,8,layer4.1.conv3.weight,layer4.1.conv3.weight|torch.float32|2048x512x1x1,cuda,1,2048x512x1x1,1048576,1048576,8,symmetric_int8,
resnet50,0,round0,262144,8,layer4.2.conv1.weight,layer4.2.conv1.weight|torch.float32|512x2048x1x1,cuda,1,512x2048x1x1,1048576,1048576,8,symmetric_int8,
resnet50,0,round0,262144,8,layer4.2.conv2.weight,layer4.2.conv2.weight|torch.float32|512x512x3x3,cuda,1,512x512x3x3,2359296,2359296,8,symmetric_int8,
resnet50,0,round0,262144,8,layer4.2.conv3.weight,layer4.2.conv3.weight|torch.float32|2048x512x1x1,cuda,1,2048x512x1x1,1048576,1048576,8,symmetric_int8,
resnet50,0,round0,262144,8,conv1.weight,conv1.weight|torch.float32|64x3x3x3,cpu_batch,,64x3x3x3,1728,0,,,below_cuda_min_numel_or_gate
resnet50,0,round0,262144,8,bn1.weight,bn1.weight|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,0,round0,262144,8,bn1.bias,bn1.bias|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,0,round0,262144,8,layer1.0.conv1.weight,layer1.0.conv1.weight|torch.float32|64x64x1x1,cpu_batch,,64x64x1x1,4096,0,,,below_cuda_min_numel_or_gate
resnet50,0,round0,262144,8,layer1.0.bn1.weight,layer1.0.bn1.weight|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,0,round0,262144,8,layer1.0.bn1.bias,layer1.0.bn1.bias|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
resnet50,0,round0,262144,8,layer1.0.conv2.weight,layer1.0.conv2.weight|torch.float32|64x64x3x3,cpu_batch,,64x64x3x3,36864,0,,,below_cuda_min_numel_or_gate
resnet50,0,round0,262144,8,layer1.0.bn2.weight,layer1.0.bn2.weight|torch.float32|64,cpu_batch,,64,64,0,,,below_cuda_min_numel_or_gate
