model,round_index,round_type,threshold,quant_mode,quant_bits,mode,cpu_threads,original_mb,official_serial_c_compress_ms,official_cpu_grouped_8t_compress_ms,cuda_v2_reference_compress_ms,cuda_layers,cpu_fallback_layers,cuda_original_mb,fallback_original_mb,compress_total_ms,decompress_total_ms,roundtrip_total_ms,cpu_wrapper_compress_ms,cpu_wrapper_decompress_ms,cpu_wrapper_roundtrip_ms,speedup_vs_cpu_wrapper,roundtrip_speedup_vs_cpu_wrapper,speedup_vs_official_cpu_8t,speedup_vs_official_serial_c,speedup_vs_cuda_v2,kernel_ms,kernel_launch_count,decompress_kernel_launch_count,payload_d2h_ms,payload_serialize_ms,payload_deserialize_ms,python_wrapper_ms,state_commit_ms,cpu_fallback_ms,cpu_fallback_decompress_ms,fallback_gpu_to_cpu_ms,cpu_fallback_batches,cpu_fallback_payload_bytes,experimental_payload_d2h_mb,final_payload_bytes,cpu_wrapper_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,cosine_similarity,sign_agreement,finite_rate,decode_status,correctness_status,classification,target_status
resnet50,0,round0,262144,8,8,gpu_v3_experimental,8,89.927490,957.909000,197.865000,165.309540,28,238,83.500000,6.427490,149.798769,85.887074,235.685843,742.203127,670.256213,1412.459340,4.954668,5.992975,1.320872,6.394639,1.103544,38.418988,140,56,12.717173,15.022109,23.900507,3.469718,0.002109,72.041309,59.857395,7.999791,1,2245261,20.875000,24166747,24561786,3.901883,3.839127,1.016346,0.000225247,0.011509956,1.000000000,0.984721243,1.000000000,pass,pass,strong_success,v3_target_pass
resnet50,1,hot,262144,8,8,gpu_v3_experimental,8,89.927490,957.909000,197.865000,165.309540,28,238,83.500000,6.427490,136.064171,104.097031,240.161202,1139.966941,839.976347,1979.943288,8.378157,8.244226,1.454204,7.040127,1.214938,4.384304,140,56,8.516731,10.153342,18.911662,8.824595,0.054667,96.079764,83.652356,7.798579,1,2255080,20.875000,24176572,25101758,3.900297,3.756542,1.038268,0.008403894,0.019294994,1.000000000,0.993643343,1.000000000,pass,pass,strong_success,v3_target_pass
resnet50,2,hot,262144,8,8,gpu_v3_experimental,8,89.927490,957.909000,197.865000,165.309540,28,238,83.500000,6.427490,128.552819,85.013255,213.566073,1315.422707,842.469104,2157.891811,10.232547,10.104095,1.539173,7.451482,1.285927,3.933090,140,56,8.259080,11.326947,16.852178,3.518325,0.049967,93.410822,66.575781,7.808677,1,2256114,20.875000,24177606,25054171,3.900130,3.763677,1.036255,0.005301053,0.024543921,1.000000000,0.992251813,1.000000000,pass,pass,strong_success,v3_target_pass
resnet50,0,round0,262144,7,7,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,28,238,83.500000,6.427490,373.262415,757.414402,1130.676817,742.203127,670.256213,1412.459340,1.988422,1.249216,0.530096,2.566315,,4.852144,140,56,270.718864,9.400882,695.430439,4.064834,0.001524,76.275761,60.234161,7.820201,1,2245261,18.265625,21430619,24561786,4.400051,3.839127,1.146107,0.000454070,0.023095617,1.000000000,0.969356537,1.000000000,pass,pass,stop_speed_failed,stop_speed_failed
resnet50,1,hot,262144,7,7,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,28,238,83.500000,6.427490,401.738978,757.838243,1159.577221,1139.966941,839.976347,1979.943288,2.837581,1.707470,0.492521,2.384406,,4.802039,140,56,275.660513,10.467432,682.818086,5.129279,0.061382,97.429313,72.811582,7.925876,1,2255080,18.265625,21440444,25101758,4.398034,3.756542,1.170767,0.008403894,0.038821254,1.000000000,0.986940920,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,2,hot,262144,7,7,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,28,238,83.500000,6.427490,427.283870,767.987696,1195.271566,1315.422707,842.469104,2157.891811,3.078569,1.805357,0.463076,2.241856,,4.843967,140,56,275.877078,20.338725,693.307530,5.159395,0.070602,112.226584,72.469262,8.480540,1,2256114,18.265625,21441478,25054171,4.397822,3.763677,1.168491,0.005301053,0.049418166,1.000000000,0.984458625,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,0,round0,262144,6,6,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,28,238,83.500000,6.427490,373.045397,709.063550,1082.108947,742.203127,670.256213,1412.459340,1.989579,1.305284,0.530405,2.567808,,4.859251,140,56,264.599495,12.097324,646.954969,4.173363,0.001233,78.799675,60.389406,8.377221,1,2245261,15.656250,18694491,24561786,5.044043,3.839127,1.313852,0.000922786,0.046889536,1.000000000,0.937845647,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,1,hot,262144,6,6,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,28,238,83.500000,6.427490,393.791304,702.915354,1096.706658,1139.966941,839.976347,1979.943288,2.894850,1.805354,0.502462,2.432530,,4.790295,140,56,265.069707,11.812536,631.168424,5.031644,0.056159,98.568617,69.602531,8.158669,1,2255080,15.656250,18704316,25101758,5.041393,3.756542,1.342030,0.008403894,0.078878418,0.999804974,0.972046852,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,2,hot,262144,6,6,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,28,238,83.500000,6.427490,385.280431,826.496556,1211.776988,1315.422707,842.469104,2157.891811,3.414195,1.780766,0.513561,2.486264,,4.767899,140,56,263.901164,8.549179,651.825451,5.068974,0.059461,94.480243,172.434805,8.201855,1,2256114,15.656250,18705350,25054171,5.041114,3.763677,1.339412,0.005301053,0.100408755,0.997767091,0.968346059,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,0,round0,262144,4,4,gpu_v3_experimental,8,89.927490,957.909000,197.865000,203.740473,28,238,83.500000,6.427490,133.615270,97.559463,231.174733,742.203127,670.256213,1412.459340,5.554778,6.109921,1.480856,7.169158,1.524829,3.930650,140,56,32.758558,8.359218,36.848186,3.256847,0.001329,77.615999,59.496294,7.558654,1,2245261,10.437500,13222235,24561786,7.131609,3.839127,1.857612,0.004086624,0.207543895,0.980783641,0.731391013,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
