model,round_index,round_type,threshold,quant_mode,quant_bits,mode,cpu_threads,original_mb,official_serial_c_compress_ms,official_cpu_grouped_8t_compress_ms,cuda_v2_reference_compress_ms,cuda_layers,cpu_fallback_layers,cuda_original_mb,fallback_original_mb,compress_total_ms,decompress_total_ms,roundtrip_total_ms,cpu_wrapper_compress_ms,cpu_wrapper_decompress_ms,cpu_wrapper_roundtrip_ms,speedup_vs_cpu_wrapper,roundtrip_speedup_vs_cpu_wrapper,speedup_vs_official_cpu_8t,speedup_vs_official_serial_c,speedup_vs_cuda_v2,kernel_ms,kernel_launch_count,decompress_kernel_launch_count,payload_d2h_ms,payload_serialize_ms,payload_deserialize_ms,python_wrapper_ms,state_commit_ms,cpu_fallback_ms,cpu_fallback_decompress_ms,fallback_gpu_to_cpu_ms,cpu_fallback_batches,cpu_fallback_payload_bytes,experimental_payload_d2h_mb,final_payload_bytes,cpu_wrapper_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,cosine_similarity,sign_agreement,finite_rate,decode_status,correctness_status,classification,target_status
resnet18,0,round0,262144,8,8,gpu_v3_experimental,8,42.661865,340.294000,122.189000,76.252984,8,93,39.375000,3.286865,49.641056,35.356329,84.997385,313.485022,303.836022,617.321043,6.315035,7.262824,2.461450,6.855092,1.536087,1.396492,40,16,3.392342,6.085524,6.838405,1.118944,0.001692,34.182704,28.115947,3.381260,1,1047789,9.843750,11382029,11635857,3.930249,3.844513,1.022301,0.000211338,0.011095471,1.000000000,0.985323191,1.000000000,pass,pass,strong_success,research_record
resnet18,1,hot,262144,8,8,gpu_v3_experimental,8,42.661865,340.294000,122.189000,76.252984,8,93,39.375000,3.286865,57.567807,41.495228,99.063035,403.029788,407.150088,810.179876,7.000958,8.178428,2.122523,5.911186,1.324577,1.444161,40,16,3.241533,5.913344,7.420574,1.353383,0.018925,42.079637,33.487914,3.347135,1,1055574,9.843750,11389820,11723976,3.927561,3.815618,1.029338,0.008458793,0.019640194,1.000000000,0.993461847,1.000000000,pass,pass,strong_success,research_record
resnet18,2,hot,262144,8,8,gpu_v3_experimental,8,42.661865,340.294000,122.189000,76.252984,8,93,39.375000,3.286865,55.582001,40.221239,95.803240,386.909902,380.007937,766.917839,6.961065,8.005135,2.198356,6.122378,1.371901,1.393843,40,16,3.221250,6.054287,7.168744,1.357158,0.021613,40.126044,32.486255,3.251131,1,1059896,9.843750,11394142,11771247,3.926071,3.800295,1.033096,0.006449129,0.025147133,1.000000000,0.992072761,1.000000000,pass,pass,strong_success,research_record
resnet18,0,round0,262144,7,7,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,8,93,39.375000,3.286865,174.550948,346.193913,520.744861,313.485022,303.836022,617.321043,1.795951,1.185458,0.700019,1.949540,,1.722175,40,16,127.710791,4.935938,315.953707,1.600581,0.001596,34.872334,29.644287,3.598090,1,1047789,8.613281,10091789,11635857,4.432733,3.844513,1.153002,0.000426029,0.022235749,1.000000000,0.970452607,1.000000000,pass,pass,stop_speed_failed,stop_speed_failed
resnet18,1,hot,262144,7,7,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,8,93,39.375000,3.286865,181.795678,351.060346,532.856024,403.029788,407.150088,810.179876,2.216938,1.520448,0.672123,1.871849,,1.633763,40,16,126.788917,5.196424,315.940154,1.897792,0.019463,42.446641,34.341970,3.632784,1,1055574,8.613281,10099580,11723976,4.429314,3.815618,1.160838,0.008458793,0.039509118,0.999785304,0.986427009,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,2,hot,262144,7,7,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,8,93,39.375000,3.286865,179.926489,350.926300,530.852788,386.909902,380.007937,766.917839,2.150378,1.444690,0.679105,1.891295,,1.652459,40,16,126.916131,4.684655,316.649237,1.941839,0.022029,40.994924,33.511239,3.552536,1,1059896,8.613281,10103902,11771247,4.427419,3.800295,1.165020,0.006449129,0.050643042,0.999530911,0.984072506,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,0,round0,262144,6,6,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,8,93,39.375000,3.286865,169.655898,321.470970,491.126868,313.485022,303.836022,617.321043,1.847770,1.256948,0.720217,2.005789,,1.687893,40,16,123.352743,4.503354,291.196514,1.558716,0.000671,34.907063,29.672071,3.540742,1,1047789,7.382812,8801549,11635857,5.082538,3.844513,1.322024,0.000865802,0.045120213,0.999114394,0.940217018,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,1,hot,262144,6,6,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,8,93,39.375000,3.286865,177.564094,326.347207,503.911301,403.029788,407.150088,810.179876,2.269771,1.607783,0.688140,1.916457,,1.583222,40,16,123.349553,4.481898,291.295176,1.874081,0.021517,42.467964,34.277444,3.595804,1,1055574,7.382812,8809340,11723976,5.078043,3.815618,1.330857,0.008458793,0.080250196,0.998094678,0.971004725,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,2,hot,262144,6,6,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,8,93,39.375000,3.286865,177.039740,327.125908,504.165648,386.909902,380.007937,766.917839,2.185441,1.521162,0.690178,1.922133,,1.633144,40,16,124.248216,4.508504,292.864185,1.826847,0.020651,41.048495,33.509515,3.580098,1,1059896,7.382812,8813662,11771247,5.075553,3.800295,1.335568,0.006449129,0.102862991,0.995590985,0.967710435,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,0,round0,262144,4,4,gpu_v3_experimental,8,42.661865,340.294000,122.189000,87.094923,8,93,39.375000,3.286865,57.413230,45.265367,102.678597,313.485022,303.836022,617.321043,5.460153,6.012169,2.128238,5.927101,1.516984,1.410175,40,16,14.536611,2.898468,15.717924,1.178127,0.001453,33.954048,29.121581,3.347894,1,1047789,4.921875,6221069,11635857,7.190759,3.844513,1.870395,0.003834258,0.199746072,0.980695724,0.740792096,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
