model,round_index,round_type,threshold,quant_mode,mode,cpu_threads,original_mb,official_serial_c_compress_ms,official_cpu_grouped_8t_compress_ms,cuda_v3_reference_compress_ms,cuda_v3_reference_decompress_ms,cuda_v3_reference_roundtrip_ms,cuda_layers,cpu_fallback_layers,cuda_original_mb,fallback_original_mb,avg_numel_per_cuda_layer,compress_total_ms,decompress_total_ms,roundtrip_total_ms,cpu_wrapper_compress_ms,cpu_wrapper_decompress_ms,cpu_wrapper_roundtrip_ms,speedup_vs_cpu_wrapper,roundtrip_speedup_vs_cpu_wrapper,speedup_vs_official_cpu_8t,speedup_vs_official_serial_c,speedup_vs_cuda_v3,roundtrip_speedup_vs_cuda_v3,strict_resnet50_compress_pass,practical_compress_pass,closed_loop_pass,encode_kernel_ms,payload_d2h_ms,payload_h2d_ms,decode_kernel_ms,decoded_tensor_materialize_ms,envelope_serialize_ms,envelope_parse_ms,cpu_fallback_ms,cpu_fallback_decode_ms,fallback_gpu_to_cpu_ms,kernel_launch_count,decode_kernel_launch_count,num_payload_objects,payload_blob_bytes,cpu_fallback_batches,cpu_fallback_payload_bytes,final_payload_bytes,cpu_wrapper_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,cosine_similarity,sign_agreement,finite_rate,decode_status,correctness_status,classification,target_status
resnet50,0,round0,262144,8,gpu_v4_fused_extension_experimental,8,89.927490,957.909000,197.865000,132.308495,94.555143,226.863637,28,238,83.500000,6.427490,781750.857,114.630933,76.845670,191.476603,737.763937,690.774857,1428.538794,6.435993,7.460644,1.726105,8.356462,1.154213,1.184811,yes,yes,yes,1.866314,1.670883,3.622484,1.020762,0.856283,11.429768,10.299195,75.399261,58.787328,7.883626,56,28,2,21889024,1,2245261,24138117,24561786,3.906511,3.839127,1.017552,0.000225247,0.011509956,1.000000000,0.984721243,1.000000000,pass,pass,strong_success,v4_target_pass
resnet50,1,hot,262144,8,gpu_v4_fused_extension_experimental,8,89.927490,957.909000,197.865000,132.308495,94.555143,226.863637,28,238,83.500000,6.427490,781750.857,130.655588,85.671755,216.327342,1164.557914,862.904240,2027.462155,8.913189,9.372196,1.514401,7.331558,1.012651,1.048705,no,no,no,1.569689,1.678949,3.592637,0.318544,0.073514,8.119668,9.187807,95.450925,69.239875,7.645574,56,28,2,21889024,1,2255080,24147936,25101758,3.904922,3.756542,1.039499,0.008403894,0.019294992,1.000000000,0.993643343,1.000000000,pass,pass,strong_success,stop_gpu_internal_optimization
resnet50,2,hot,262144,8,gpu_v4_fused_extension_experimental,8,89.927490,957.909000,197.865000,132.308495,94.555143,226.863637,28,238,83.500000,6.427490,781750.857,117.839500,81.126356,198.965857,1377.462634,837.008954,2214.471588,11.689312,11.129908,1.679106,8.128930,1.122786,1.140214,yes,yes,yes,1.605539,1.672079,3.627884,0.322530,0.077091,8.738012,8.789041,95.089632,66.953941,8.473087,56,28,2,21889024,1,2256114,24148970,25054171,3.904755,3.763677,1.037484,0.005301053,0.024543917,1.000000000,0.992251813,1.000000000,pass,pass,strong_success,v4_target_pass
resnet50,0,round0,65536,8,gpu_v4_fused_extension_experimental,8,89.927490,957.909000,197.865000,,,,41,225,88.500000,1.427490,565847.415,66.197400,35.883274,102.080674,737.763937,690.774857,1428.538794,11.144908,13.994214,2.989015,14.470493,,,yes,yes,yes,1.862378,1.774197,3.993859,0.314100,0.089309,8.730778,8.712495,31.871286,21.606732,6.316382,82,41,2,23199744,1,809483,24014811,24561786,3.926569,3.839127,1.022777,0.000225247,0.011694809,1.000000000,0.984040022,1.000000000,pass,pass,strong_success,v4_target_pass
resnet50,1,hot,65536,8,gpu_v4_fused_extension_experimental,8,89.927490,957.909000,197.865000,,,,41,225,88.500000,1.427490,565847.415,55.914111,40.447270,96.361382,1164.557914,862.904240,2027.462155,20.827621,21.040194,3.538731,17.131793,,,yes,yes,yes,1.925883,1.772783,3.765689,0.386392,0.095137,9.012717,9.215097,35.419372,23.861758,5.777504,82,41,2,23199744,1,807859,24013187,25101758,3.926834,3.756542,1.045332,0.008403894,0.019729868,1.000000000,0.993402719,1.000000000,pass,pass,strong_success,v4_target_pass
resnet50,2,hot,65536,8,gpu_v4_fused_extension_experimental,8,89.927490,957.909000,197.865000,,,,41,225,88.500000,1.427490,565847.415,55.361764,38.453992,93.815756,1377.462634,837.008954,2214.471588,24.881119,23.604474,3.574037,17.302718,,,yes,yes,yes,1.996224,1.781907,3.565123,0.383441,0.097110,8.560655,9.875322,35.106195,23.039355,5.828312,82,41,2,23199744,1,806967,24012295,25054171,3.926980,3.763677,1.043389,0.005301053,0.025115330,1.000000000,0.991926014,1.000000000,pass,pass,strong_success,v4_target_pass
resnet50,0,round0,16384,8,gpu_v4_fused_extension_experimental,8,89.927490,957.909000,197.865000,,,,52,214,89.500000,0.427490,451190.154,33.672687,26.281908,59.954595,737.763937,690.774857,1428.538794,21.909863,23.827011,5.876127,28.447656,,,yes,yes,yes,2.162112,1.790231,4.005714,0.421053,0.110222,8.608220,8.683909,14.012795,11.697306,5.366933,104,52,2,23461888,1,472834,23941742,24561786,3.938553,3.839127,1.025898,0.000225247,0.011728658,1.000000000,0.983910203,1.000000000,pass,pass,strong_success,v4_target_pass
resnet50,1,hot,16384,8,gpu_v4_fused_extension_experimental,8,89.927490,957.909000,197.865000,,,,52,214,89.500000,0.427490,451190.154,35.161455,27.316644,62.478099,1164.557914,862.904240,2027.462155,33.120299,32.450766,5.627327,27.243156,,,yes,yes,yes,2.277938,1.791251,3.640402,0.431900,0.106701,9.029108,8.969070,14.830524,11.108163,5.193515,104,52,2,23461888,1,475040,23943948,25101758,3.938190,3.756542,1.048355,0.000522981,0.019803822,1.000000000,0.993356645,1.000000000,pass,pass,strong_success,v4_target_pass
resnet50,2,hot,16384,8,gpu_v4_fused_extension_experimental,8,89.927490,957.909000,197.865000,,,,52,214,89.500000,0.427490,451190.154,34.707653,26.142207,60.849860,1377.462634,837.008954,2214.471588,39.687576,36.392386,5.700904,27.599359,,,yes,yes,yes,2.318398,1.790863,3.543708,0.434417,0.115293,8.325066,9.660653,14.744913,10.703146,5.407596,104,52,2,23461888,1,475148,23944056,25054171,3.938172,3.763677,1.046363,0.000807550,0.025217332,1.000000000,0.991862893,1.000000000,pass,pass,strong_success,v4_target_pass
resnet18,0,round0,262144,8,gpu_v4_fused_extension_experimental,8,42.661865,340.294000,122.189000,56.574904,40.858233,97.433138,8,93,39.375000,3.286865,1290240.000,52.452873,37.631190,90.084064,342.634694,339.071960,681.706654,6.532239,7.567450,2.329501,6.487614,1.078585,1.081580,,no,no,0.592389,0.792479,1.880234,0.126785,0.025980,3.920450,3.948384,35.677934,31.118603,3.437511,16,8,2,10321920,1,1047789,11370821,11635857,3.934123,3.844513,1.023308,0.000211338,0.011095471,1.000000000,0.985323191,1.000000000,pass,pass,strong_success,research_record
