model,layer_name,layer_key,shape,numel,official_threshold_2048_backend,valid_full_cuda_backend,fallback_reason_official,guard_status,dtype_ok,contiguous_ok,shape_supported,state_owner_stable,q8_supported,rel_l2_contribution,payload_bytes,estimated_time_ms
resnet50,conv1.weight,conv1.weight|torch.float32|64x3x3x3,64x3x3x3,1728,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000112162,1728,0.581295
resnet50,bn1.weight,bn1.weight|torch.float32|64,64,64,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000001546,64,0.021529
resnet50,bn1.bias,bn1.bias|torch.float32|64,64,64,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000001724,64,0.021529
resnet50,layer1.0.conv1.weight,layer1.0.conv1.weight|torch.float32|64x64x1x1,64x64x1x1,4096,cuda,cuda,,pass,True,True,True,True,True,0.000187677,4096,0.001953
resnet50,layer1.0.bn1.weight,layer1.0.bn1.weight|torch.float32|64,64,64,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000001580,64,0.021529
resnet50,layer1.0.bn1.bias,layer1.0.bn1.bias|torch.float32|64,64,64,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000001617,64,0.021529
resnet50,layer1.0.conv2.weight,layer1.0.conv2.weight|torch.float32|64x64x3x3,64x64x3x3,36864,cuda,cuda,,pass,True,True,True,True,True,0.000654931,36864,0.017577
resnet50,layer1.0.bn2.weight,layer1.0.bn2.weight|torch.float32|64,64,64,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000002850,64,0.021529
resnet50,layer1.0.bn2.bias,layer1.0.bn2.bias|torch.float32|64,64,64,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000001749,64,0.021529
resnet50,layer1.0.conv3.weight,layer1.0.conv3.weight|torch.float32|256x64x1x1,256x64x1x1,16384,cuda,cuda,,pass,True,True,True,True,True,0.000458110,16384,0.007812
resnet50,layer1.0.bn3.weight,layer1.0.bn3.weight|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000004270,256,0.086118
resnet50,layer1.0.bn3.bias,layer1.0.bn3.bias|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000004332,256,0.086118
resnet50,layer1.0.shortcut.0.weight,layer1.0.shortcut.0.weight|torch.float32|256x64x1x1,256x64x1x1,16384,cuda,cuda,,pass,True,True,True,True,True,0.000440267,16384,0.007812
resnet50,layer1.0.shortcut.1.weight,layer1.0.shortcut.1.weight|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000033615,256,0.086118
resnet50,layer1.0.shortcut.1.bias,layer1.0.shortcut.1.bias|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000042521,256,0.086118
resnet50,layer1.1.conv1.weight,layer1.1.conv1.weight|torch.float32|64x256x1x1,64x256x1x1,16384,cuda,cuda,,pass,True,True,True,True,True,0.000450865,16384,0.007812
resnet50,layer1.1.bn1.weight,layer1.1.bn1.weight|torch.float32|64,64,64,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000001315,64,0.021529
