model,threshold,guarded_all_cuda,sample_index,timing_kind,warmup_round,measured_round,warmup_excluded,fresh_state,compress_ms,decompress_ms,closed_loop_ms,original_mb,cuda_layers,fallback_layers,cuda_mb,fallback_mb,avg_numel_per_cuda_layer,kernel_launch_count,decode_kernel_launch_count,num_payload_objects,payload_blob_bytes,final_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,finite_rate,decode_status,correctness_status,payload_object_status
resnet50,2048,no,0,official_minimal,0,1,yes,yes,50.655032,32.720473,83.375504,89.927490,69,197,89.640625,0.286865,340561.623,138,69,2,23498752,23853000,3.953205,3.756542,1.052352,0.000522981,0.019806366,1.000000000,pass,pass,constant_small
resnet50,2048,no,1,official_minimal,0,2,yes,yes,31.773131,27.905147,59.678278,89.927490,69,197,89.640625,0.286865,340561.623,138,69,2,23498752,23852523,3.953284,3.763677,1.050378,0.000522209,0.019875597,1.000000000,pass,pass,constant_small
resnet50,2048,no,2,official_minimal,0,1,yes,yes,32.512025,28.315650,60.827675,89.927490,69,197,89.640625,0.286865,340561.623,138,69,2,23498752,23853000,3.953205,3.756542,1.052352,0.000522981,0.019806366,1.000000000,pass,pass,constant_small
resnet50,2048,no,3,official_minimal,0,2,yes,yes,33.197016,28.067459,61.264476,89.927490,69,197,89.640625,0.286865,340561.623,138,69,2,23498752,23852523,3.953284,3.763677,1.050378,0.000522209,0.019875597,1.000000000,pass,pass,constant_small
resnet50,2048,no,4,official_minimal,0,1,yes,yes,32.041738,27.084834,59.126572,89.927490,69,197,89.640625,0.286865,340561.623,138,69,2,23498752,23853000,3.953205,3.756542,1.052352,0.000522981,0.019806366,1.000000000,pass,pass,constant_small
resnet50,1024,no,0,official_minimal,0,1,yes,yes,28.925142,25.552488,54.477630,89.927490,98,168,89.756592,0.170898,240093.388,196,98,2,23529152,23765118,3.967824,3.756542,1.056244,0.000522981,0.019807499,1.000000000,pass,pass,constant_small
resnet50,1024,no,1,official_minimal,0,2,yes,yes,98.512416,26.048517,124.560933,89.927490,98,168,89.756592,0.170898,240093.388,196,98,2,23529152,23765066,3.967833,3.763677,1.054244,0.000522209,0.019876663,1.000000000,pass,pass,constant_small
resnet50,1024,no,2,official_minimal,0,1,yes,yes,28.992118,25.750563,54.742682,89.927490,98,168,89.756592,0.170898,240093.388,196,98,2,23529152,23765118,3.967824,3.756542,1.056244,0.000522981,0.019807499,1.000000000,pass,pass,constant_small
resnet50,1024,no,3,official_minimal,0,2,yes,yes,29.244713,25.483722,54.728435,89.927490,98,168,89.756592,0.170898,240093.388,196,98,2,23529152,23765066,3.967833,3.763677,1.054244,0.000522209,0.019876663,1.000000000,pass,pass,constant_small
resnet50,1024,no,4,official_minimal,0,1,yes,yes,28.373712,25.176970,53.550682,89.927490,98,168,89.756592,0.170898,240093.388,196,98,2,23529152,23765118,3.967824,3.756542,1.056244,0.000522981,0.019807499,1.000000000,pass,pass,constant_small
