model,threshold,round_index,clone_count,clone_bytes,clone_ms,decoded_tensor_alloc_count,decoded_tensor_alloc_bytes,decoded_tensor_alloc_ms,cudaMalloc_count,cudaFree_count,state_pointer_swap_possible
resnet50,262144,1,28,87556096,0.465593,28,21889024,0.075288,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,262144,2,28,87556096,0.450443,28,21889024,0.072631,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,262144,1,28,87556096,0.453006,28,21889024,0.072649,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,262144,2,28,87556096,0.455786,28,21889024,0.073410,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,262144,1,28,87556096,0.457412,28,21889024,0.072553,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,65536,1,41,92798976,0.591230,41,23199744,0.093758,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,65536,2,41,92798976,0.584923,41,23199744,0.107459,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,65536,1,41,92798976,0.598951,41,23199744,0.086645,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,65536,2,41,92798976,0.587514,41,23199744,0.087734,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,65536,1,41,92798976,0.594508,41,23199744,0.087496,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,16384,1,52,93847552,0.719195,52,23461888,0.101404,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,16384,2,52,93847552,0.702134,52,23461888,0.103439,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,16384,1,52,93847552,0.748403,52,23461888,0.106656,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,16384,2,52,93847552,0.704948,52,23461888,0.104417,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,16384,1,52,93847552,0.737220,52,23461888,0.106590,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,8192,1,52,93847552,0.742098,52,23461888,0.102786,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,8192,2,52,93847552,0.704104,52,23461888,0.109720,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,8192,1,52,93847552,0.712103,52,23461888,0.096558,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,8192,2,52,93847552,0.709749,52,23461888,0.099674,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,8192,1,52,93847552,0.709914,52,23461888,0.099789,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,4096,1,53,93863936,0.722121,53,23465984,0.106970,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
resnet50,4096,2,53,93863936,0.720653,53,23465984,0.104549,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit
