model,threshold,sample_index,timing_kind,warmup_round,measured_round,warmup_excluded,fresh_state,compress_ms,decompress_ms,closed_loop_ms,original_mb,cuda_layers,fallback_layers,cuda_mb,fallback_mb,avg_numel_per_cuda_layer,kernel_launch_count,decode_kernel_launch_count,payload_blob_bytes,final_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,finite_rate,decode_status,correctness_status,encode_kernel_ms,decode_kernel_ms,payload_d2h_ms,payload_h2d_ms,envelope_serialize_ms,envelope_parse_ms,cpu_fallback_ms,cpu_fallback_decode_ms,fallback_gpu_to_cpu_ms,decoded_tensor_alloc_ms,clone_count,clone_bytes,clone_ms,cudaMalloc_count,cudaFree_count,state_pointer_swap_possible,unaccounted_wrapper_ms
resnet50,262144,0,diagnostic,0,1,yes,yes,115.805132,82.516906,198.322038,89.927490,28,238,83.500000,6.427490,781750.857,56,28,21889024,24147936,3.904922,3.756542,1.039499,0.008403894,0.019294992,1.000000000,pass,pass,1.542091,0.327537,1.676386,2.994796,9.407141,10.131600,93.750367,67.952423,7.514265,0.075288,28,87556096,0.465593,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.484550
resnet50,262144,1,diagnostic,0,2,yes,yes,112.898991,88.478901,201.377893,89.927490,28,238,83.500000,6.427490,781750.857,56,28,21889024,24150538,3.904501,3.763677,1.037417,0.005765539,0.019393383,1.000000000,pass,pass,1.521594,0.323103,1.671581,3.063287,9.386779,18.403954,90.888123,65.611664,7.475285,0.072631,28,87556096,0.450443,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.509449
resnet50,262144,2,diagnostic,0,1,yes,yes,113.214087,88.184613,201.398700,89.927490,28,238,83.500000,6.427490,781750.857,56,28,21889024,24147936,3.904922,3.756542,1.039499,0.008403894,0.019294992,1.000000000,pass,pass,1.544973,0.324423,1.670143,2.991413,9.348651,18.325771,91.143102,65.456348,7.559637,0.072649,28,87556096,0.453006,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.508583
resnet50,262144,3,diagnostic,0,2,yes,yes,111.958910,89.982422,201.941332,89.927490,28,238,83.500000,6.427490,781750.857,56,28,21889024,24150538,3.904501,3.763677,1.037417,0.005765539,0.019393383,1.000000000,pass,pass,1.553906,0.325388,1.677011,3.100887,9.539463,18.974153,89.825676,66.488585,7.445224,0.073410,28,87556096,0.455786,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.481844
resnet50,262144,4,diagnostic,0,1,yes,yes,111.555637,87.480444,199.036080,89.927490,28,238,83.500000,6.427490,781750.857,56,28,21889024,24147936,3.904922,3.756542,1.039499,0.008403894,0.019294992,1.000000000,pass,pass,1.528465,0.320999,1.671061,2.970061,9.400704,18.350854,89.685954,64.759943,7.352374,0.072553,28,87556096,0.457412,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.465701
resnet50,65536,0,diagnostic,0,1,yes,yes,53.480990,46.578010,100.059000,89.927490,41,225,88.500000,1.427490,565847.415,82,41,23199744,24013187,3.926834,3.756542,1.045332,0.008403894,0.019729868,1.000000000,pass,pass,1.912353,0.385277,1.770678,3.196229,9.704881,19.295117,32.607258,22.486551,5.695524,0.093758,41,92798976,0.591230,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.320144
resnet50,65536,1,diagnostic,0,2,yes,yes,120.978268,46.765524,167.743792,89.927490,41,225,88.500000,1.427490,565847.415,82,41,23199744,24014789,3.926572,3.763677,1.043281,0.005765539,0.019800184,1.000000000,pass,pass,1.877071,0.398883,1.770400,3.195228,9.639492,19.000193,99.987878,22.873444,5.828889,0.107459,41,92798976,0.584923,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.479931
resnet50,65536,2,diagnostic,0,1,yes,yes,52.698929,46.182483,98.881411,89.927490,41,225,88.500000,1.427490,565847.415,82,41,23199744,24013187,3.926834,3.756542,1.045332,0.008403894,0.019729868,1.000000000,pass,pass,1.922405,0.380634,1.770706,3.147442,9.606875,18.921638,32.140844,22.545477,5.562269,0.086645,41,92798976,0.598951,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.197526
resnet50,65536,3,diagnostic,0,2,yes,yes,52.864193,45.880169,98.744362,89.927490,41,225,88.500000,1.427490,565847.415,82,41,23199744,24014789,3.926572,3.763677,1.043281,0.005765539,0.019800184,1.000000000,pass,pass,1.916819,0.380897,1.771545,3.150145,9.588578,18.960523,32.278690,22.192634,5.623524,0.087734,41,92798976,0.587514,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.205759
resnet50,65536,4,diagnostic,0,1,yes,yes,52.586474,45.729588,98.316062,89.927490,41,225,88.500000,1.427490,565847.415,82,41,23199744,24013187,3.926834,3.756542,1.045332,0.008403894,0.019729868,1.000000000,pass,pass,1.882935,0.378393,1.776369,3.123914,9.631541,18.985239,32.085709,22.052829,5.484097,0.087496,41,92798976,0.594508,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.233033
