model,threshold,timing_kind,samples,closed_loop_median_ms,closed_loop_iqr_ms,closed_loop_min_ms,closed_loop_max_ms,compress_median_ms,decompress_median_ms,cuda_layers_median,fallback_layers_median,cuda_mb_median,fallback_mb_median,rel_l2_median,finite_rate_min,ratio_retention_median,quality_pass
resnet18,2048,diagnostic,5,25.089762,0.285111,24.864841,25.239137,13.808126,11.094769,20,81,42.582031,0.079834,0.020185133,1.000000000,1.040294,yes
resnet18,4096,diagnostic,5,24.728390,0.582528,24.285587,37.639472,13.544833,10.970795,20,81,42.582031,0.079834,0.020185133,1.000000000,1.040294,yes
resnet18,8192,diagnostic,5,26.076318,0.347961,25.832850,26.233307,14.673647,11.372160,19,82,42.562500,0.099365,0.020181853,1.000000000,1.039821,yes
resnet18,16384,diagnostic,5,28.489843,0.516712,27.433133,28.770690,15.859761,12.188447,18,83,42.531250,0.130615,0.020177707,1.000000000,1.039360,yes
resnet18,65536,diagnostic,5,44.298645,0.363949,44.189929,44.732384,25.422344,19.019575,13,88,41.843750,0.818115,0.020071581,1.000000000,1.035915,yes
resnet18,262144,diagnostic,5,87.881342,0.407567,87.524111,89.723655,48.157486,39.607377,8,93,39.375000,3.286865,0.019640192,1.000000000,1.030353,yes
resnet50,2048,diagnostic,5,63.540942,0.338415,63.192520,67.467333,30.170958,33.332587,69,197,89.640625,0.286865,0.019806366,1.000000000,1.052352,yes
resnet50,4096,diagnostic,5,67.461507,0.425363,67.144693,67.584020,33.084772,34.198417,53,213,89.515625,0.411865,0.019804634,1.000000000,1.048518,yes
resnet50,8192,diagnostic,5,68.569263,0.396065,68.239750,69.278548,33.965838,34.406467,52,214,89.500000,0.427490,0.019803822,1.000000000,1.048355,yes
resnet50,16384,diagnostic,5,68.742672,0.963288,68.392664,70.810387,34.060933,34.681739,52,214,89.500000,0.427490,0.019803822,1.000000000,1.048355,yes
resnet50,65536,diagnostic,5,98.881411,1.314638,98.316062,167.743792,52.864193,46.182483,41,225,88.500000,1.427490,0.019729868,1.000000000,1.045332,yes
resnet50,262144,diagnostic,5,201.377893,2.362620,198.322038,201.941332,112.898991,88.184613,28,238,83.500000,6.427490,0.019294992,1.000000000,1.039499,yes
