model,threshold,repeat_index,payload_bytes,python_wrapper_dumps_ms,cpp_envelope_pack_ms,python_wrapper_loads_ms,cpp_envelope_parse_ms,object_rebuild_ms,tensor_materialization_ms,notes
resnet50,262144,0,24147936,9.689917,0.000000,10.481534,0.000000,10.476172,10.476172,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,1,24147936,14.713456,0.000000,10.353895,0.000000,10.323320,10.323320,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,2,24147936,20.283986,0.000000,10.389713,0.000000,10.352750,10.352750,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,3,24147936,9.804945,0.000000,10.205057,0.000000,10.179128,10.179128,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,4,24147936,9.933179,0.000000,10.462737,0.000000,10.439408,10.439408,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,5,24147936,9.534325,0.000000,10.133343,0.000000,10.109409,10.109409,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,6,24147936,10.333334,0.000000,10.342757,0.000000,10.321633,10.321633,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,7,24147936,9.482250,0.000000,10.222026,0.000000,10.197840,10.197840,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,8,24147936,10.292597,0.000000,10.271328,0.000000,10.250510,10.250510,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,9,24147936,9.459022,0.000000,10.182880,0.000000,10.159444,10.159444,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,10,24147936,10.257717,0.000000,10.305922,0.000000,10.285262,10.285262,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,11,24147936,9.492537,0.000000,10.765873,0.000000,10.740452,10.740452,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,12,24147936,10.301014,0.000000,10.322293,0.000000,10.300898,10.300898,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,13,24147936,9.541443,0.000000,10.226282,0.000000,10.204055,10.204055,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,14,24147936,10.281495,0.000000,10.285155,0.000000,10.263984,10.263984,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,15,24147936,9.486312,0.000000,10.200435,0.000000,10.176861,10.176861,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,16,24147936,10.349933,0.000000,10.298777,0.000000,10.275584,10.275584,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,17,24147936,9.492749,0.000000,10.174022,0.000000,10.149635,10.149635,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,18,24147936,10.292931,0.000000,10.231480,0.000000,10.209252,10.209252,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,19,24147936,9.479232,0.000000,10.097752,0.000000,10.072993,10.072993,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,20,24147936,10.266338,0.000000,10.275068,0.000000,10.254424,10.254424,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,21,24147936,9.520860,0.000000,10.101826,0.000000,10.077902,10.077902,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,22,24147936,10.276402,0.000000,10.248436,0.000000,10.227608,10.227608,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,23,24147936,9.523684,0.000000,10.150352,0.000000,10.125887,10.125887,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,24,24147936,10.284567,0.000000,10.223036,0.000000,10.202146,10.202146,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,25,24147936,9.592731,0.000000,10.142858,0.000000,10.117160,10.117160,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,26,24147936,10.327516,0.000000,10.257123,0.000000,10.234648,10.234648,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,27,24147936,9.544302,0.000000,10.050964,0.000000,10.027938,10.027938,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,28,24147936,10.217204,0.000000,10.186310,0.000000,10.165238,10.165238,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,29,24147936,9.506042,0.000000,10.049249,0.000000,10.025382,10.025382,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,30,24147936,10.332415,0.000000,10.194288,0.000000,10.172425,10.172425,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,31,24147936,9.439941,0.000000,10.033063,0.000000,10.007731,10.007731,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,32,24147936,10.308631,0.000000,10.226497,0.000000,10.204426,10.204426,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,33,24147936,9.464670,0.000000,9.977007,0.000000,9.952217,9.952217,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,34,24147936,10.231582,0.000000,10.189593,0.000000,10.167385,10.167385,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,35,24147936,9.434500,0.000000,10.032998,0.000000,10.009877,10.009877,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,36,24147936,10.239443,0.000000,10.213252,0.000000,10.192668,10.192668,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,37,24147936,9.490803,0.000000,10.040627,0.000000,10.015243,10.015243,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,38,24147936,10.282253,0.000000,10.196070,0.000000,10.172522,10.172522,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,39,24147936,9.466539,0.000000,10.100861,0.000000,10.078803,10.078803,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,40,24147936,10.252068,0.000000,10.177081,0.000000,10.156156,10.156156,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,41,24147936,9.509499,0.000000,10.006585,0.000000,9.983178,9.983178,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,42,24147936,10.296062,0.000000,10.198028,0.000000,10.175194,10.175194,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,43,24147936,9.469411,0.000000,10.008262,0.000000,9.984053,9.984053,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,44,24147936,10.233796,0.000000,10.154773,0.000000,10.131001,10.131001,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,45,24147936,9.405061,0.000000,9.986035,0.000000,9.963409,9.963409,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,46,24147936,10.270020,0.000000,10.151376,0.000000,10.128336,10.128336,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,47,24147936,9.426528,0.000000,10.029085,0.000000,10.004758,10.004758,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,48,24147936,10.255909,0.000000,10.162929,0.000000,10.138997,10.138997,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,49,24147936,9.400284,0.000000,10.083655,0.000000,10.058627,10.058627,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,50,24147936,10.286544,0.000000,10.186594,0.000000,10.164103,10.164103,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
