model,threshold,sample_index,layer_name,layer_key,shape,numel,nbytes,fallback_reason,estimated_encode_ms,estimated_decode_ms
resnet50,262144,0,conv1.weight,conv1.weight|torch.float32|64x3x3x3,64x3x3x3,1728,6912,below_cuda_min_numel_or_gate,0.096147,0.069689
resnet50,262144,0,bn1.weight,bn1.weight|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.003561,0.002581
resnet50,262144,0,bn1.bias,bn1.bias|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.003561,0.002581
resnet50,262144,0,layer1.0.conv1.weight,layer1.0.conv1.weight|torch.float32|64x64x1x1,64x64x1x1,4096,16384,below_cuda_min_numel_or_gate,0.227904,0.165190
resnet50,262144,0,layer1.0.bn1.weight,layer1.0.bn1.weight|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.003561,0.002581
resnet50,262144,0,layer1.0.bn1.bias,layer1.0.bn1.bias|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.003561,0.002581
resnet50,262144,0,layer1.0.conv2.weight,layer1.0.conv2.weight|torch.float32|64x64x3x3,64x64x3x3,36864,147456,below_cuda_min_numel_or_gate,2.051134,1.486709
resnet50,262144,0,layer1.0.bn2.weight,layer1.0.bn2.weight|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.003561,0.002581
resnet50,262144,0,layer1.0.bn2.bias,layer1.0.bn2.bias|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.003561,0.002581
resnet50,262144,0,layer1.0.conv3.weight,layer1.0.conv3.weight|torch.float32|256x64x1x1,256x64x1x1,16384,65536,below_cuda_min_numel_or_gate,0.911615,0.660760
resnet50,262144,0,layer1.0.bn3.weight,layer1.0.bn3.weight|torch.float32|256,256,256,1024,below_cuda_min_numel_or_gate,0.014244,0.010324
resnet50,262144,0,layer1.0.bn3.bias,layer1.0.bn3.bias|torch.float32|256,256,256,1024,below_cuda_min_numel_or_gate,0.014244,0.010324
resnet50,262144,0,layer1.0.shortcut.0.weight,layer1.0.shortcut.0.weight|torch.float32|256x64x1x1,256x64x1x1,16384,65536,below_cuda_min_numel_or_gate,0.911615,0.660760
resnet50,262144,0,layer1.0.shortcut.1.weight,layer1.0.shortcut.1.weight|torch.float32|256,256,256,1024,below_cuda_min_numel_or_gate,0.014244,0.010324
resnet50,262144,0,layer1.0.shortcut.1.bias,layer1.0.shortcut.1.bias|torch.float32|256,256,256,1024,below_cuda_min_numel_or_gate,0.014244,0.010324
resnet50,262144,0,layer1.1.conv1.weight,layer1.1.conv1.weight|torch.float32|64x256x1x1,64x256x1x1,16384,65536,below_cuda_min_numel_or_gate,0.911615,0.660760
resnet50,262144,0,layer1.1.bn1.weight,layer1.1.bn1.weight|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.003561,0.002581
resnet50,262144,0,layer1.1.bn1.bias,layer1.1.bn1.bias|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.003561,0.002581
resnet50,262144,0,layer1.1.conv2.weight,layer1.1.conv2.weight|torch.float32|64x64x3x3,64x64x3x3,36864,147456,below_cuda_min_numel_or_gate,2.051134,1.486709
resnet50,262144,0,layer1.1.bn2.weight,layer1.1.bn2.weight|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.003561,0.002581
resnet50,262144,0,layer1.1.bn2.bias,layer1.1.bn2.bias|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.003561,0.002581
resnet50,262144,0,layer1.1.conv3.weight,layer1.1.conv3.weight|torch.float32|256x64x1x1,256x64x1x1,16384,65536,below_cuda_min_numel_or_gate,0.911615,0.660760
resnet50,262144,0,layer1.1.bn3.weight,layer1.1.bn3.weight|torch.float32|256,256,256,1024,below_cuda_min_numel_or_gate,0.014244,0.010324
resnet50,262144,0,layer1.1.bn3.bias,layer1.1.bn3.bias|torch.float32|256,256,256,1024,below_cuda_min_numel_or_gate,0.014244,0.010324
resnet50,262144,0,layer1.2.conv1.weight,layer1.2.conv1.weight|torch.float32|64x256x1x1,64x256x1x1,16384,65536,below_cuda_min_numel_or_gate,0.911615,0.660760
resnet50,262144,0,layer1.2.bn1.weight,layer1.2.bn1.weight|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.003561,0.002581
