model,threshold,timing_kind,samples,closed_loop_median_ms,closed_loop_iqr_ms,closed_loop_min_ms,closed_loop_max_ms,compress_median_ms,decompress_median_ms,cuda_layers_median,fallback_layers_median,cuda_mb_median,fallback_mb_median,rel_l2_median,finite_rate_min,ratio_retention_median,quality_pass
resnet18,2048,official,5,24.324312,0.239221,24.113460,24.382139,13.415045,10.833182,20,81,42.582031,0.079834,0.020185133,1.000000000,1.040294,yes
resnet18,4096,official,5,24.084820,0.121481,23.920672,24.207604,13.249430,10.806462,20,81,42.582031,0.079834,0.020185133,1.000000000,1.040294,yes
resnet18,8192,official,5,25.709511,0.199575,25.443835,25.757175,14.454187,11.222742,19,82,42.562500,0.099365,0.020181853,1.000000000,1.039821,yes
resnet18,16384,official,5,27.170119,0.146177,26.910936,27.324510,15.335489,11.763978,18,83,42.531250,0.130615,0.020177707,1.000000000,1.039360,yes
resnet18,65536,official,5,43.183792,0.144843,43.102109,43.371418,24.715213,18.481590,13,88,41.843750,0.818115,0.020071581,1.000000000,1.035915,yes
resnet18,262144,official,5,88.058387,5.603456,87.469173,101.121830,48.370943,40.023158,8,93,39.375000,3.286865,0.019640192,1.000000000,1.030353,yes
resnet50,2048,official,5,65.479242,2.205136,63.198526,66.761260,30.830681,34.263841,69,197,89.640625,0.286865,0.019806366,1.000000000,1.052352,yes
resnet50,4096,official,5,67.498709,0.487022,67.088553,73.857558,33.699169,33.753137,53,213,89.515625,0.411865,0.019804634,1.000000000,1.048518,yes
resnet50,8192,official,5,68.950907,0.307079,68.221979,69.718772,34.578144,34.421798,52,214,89.500000,0.427490,0.019803822,1.000000000,1.048355,yes
resnet50,16384,official,5,69.545265,0.367749,69.115872,70.989566,34.807507,34.478098,52,214,89.500000,0.427490,0.019803822,1.000000000,1.048355,yes
resnet50,65536,official,5,100.734338,1.514600,99.339469,105.089519,54.049575,46.554456,41,225,88.500000,1.427490,0.019729868,1.000000000,1.045332,yes
resnet50,262144,official,5,213.489936,8.642173,206.148624,225.042131,119.096801,92.822487,28,238,83.500000,6.427490,0.019294992,1.000000000,1.039499,yes
