model,threshold,sample_index,timing_kind,warmup_round,measured_round,warmup_excluded,fresh_state,compress_ms,decompress_ms,closed_loop_ms,original_mb,cuda_layers,fallback_layers,cuda_mb,fallback_mb,avg_numel_per_cuda_layer,kernel_launch_count,decode_kernel_launch_count,payload_blob_bytes,final_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,finite_rate,decode_status,correctness_status
resnet50,262144,0,official,0,1,yes,yes,130.419449,94.622682,225.042131,89.927490,28,238,83.500000,6.427490,781750.857,56,28,21889024,24147936,3.904922,3.756542,1.039499,0.008403894,0.019294992,1.000000000,pass,pass
resnet50,262144,1,official,0,2,yes,yes,119.096801,94.393135,213.489936,89.927490,28,238,83.500000,6.427490,781750.857,56,28,21889024,24150538,3.904501,3.763677,1.037417,0.005765539,0.019393383,1.000000000,pass,pass
resnet50,262144,2,official,0,1,yes,yes,113.465216,92.822487,206.287703,89.927490,28,238,83.500000,6.427490,781750.857,56,28,21889024,24147936,3.904922,3.756542,1.039499,0.008403894,0.019294992,1.000000000,pass,pass
resnet50,262144,3,official,0,2,yes,yes,115.103786,91.044839,206.148624,89.927490,28,238,83.500000,6.427490,781750.857,56,28,21889024,24150538,3.904501,3.763677,1.037417,0.005765539,0.019393383,1.000000000,pass,pass
resnet50,262144,4,official,0,1,yes,yes,124.191415,90.738461,214.929876,89.927490,28,238,83.500000,6.427490,781750.857,56,28,21889024,24147936,3.904922,3.756542,1.039499,0.008403894,0.019294992,1.000000000,pass,pass
resnet50,65536,0,official,0,1,yes,yes,56.555422,48.534097,105.089519,89.927490,41,225,88.500000,1.427490,565847.415,82,41,23199744,24013187,3.926834,3.756542,1.045332,0.008403894,0.019729868,1.000000000,pass,pass
resnet50,65536,1,official,0,2,yes,yes,53.603581,45.758242,99.361823,89.927490,41,225,88.500000,1.427490,565847.415,82,41,23199744,24014789,3.926572,3.763677,1.043281,0.005765539,0.019800184,1.000000000,pass,pass
resnet50,65536,2,official,0,1,yes,yes,54.321967,46.554456,100.876423,89.927490,41,225,88.500000,1.427490,565847.415,82,41,23199744,24013187,3.926834,3.756542,1.045332,0.008403894,0.019729868,1.000000000,pass,pass
resnet50,65536,3,official,0,2,yes,yes,54.049575,46.684763,100.734338,89.927490,41,225,88.500000,1.427490,565847.415,82,41,23199744,24014789,3.926572,3.763677,1.043281,0.005765539,0.019800184,1.000000000,pass,pass
resnet50,65536,4,official,0,1,yes,yes,53.489102,45.850367,99.339469,89.927490,41,225,88.500000,1.427490,565847.415,82,41,23199744,24013187,3.926834,3.756542,1.045332,0.008403894,0.019729868,1.000000000,pass,pass
resnet50,16384,0,official,0,1,yes,yes,34.637326,36.352240,70.989566,89.927490,52,214,89.500000,0.427490,451190.154,104,52,23461888,23943948,3.938190,3.756542,1.048355,0.000522981,0.019803822,1.000000000,pass,pass
resnet50,16384,1,official,0,2,yes,yes,34.909705,34.651930,69.561634,89.927490,52,214,89.500000,0.427490,451190.154,104,52,23461888,23944602,3.938082,3.763677,1.046339,0.000522209,0.019872639,1.000000000,pass,pass
