payload_mb,direction,host_buffer_kind,allocation_policy,copy_api,sync_location,repeat_index,wall_ms,cuda_event_ms,gb_per_s_wall,gb_per_s_event,status
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,0,3.732515,3.645984,2.093093,2.142769,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,1,5.094171,5.076416,1.533616,1.538979,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,2,3.423832,3.406784,2.281800,2.293218,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,3,3.402593,3.387680,2.296043,2.306150,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,4,3.427207,3.411488,2.279553,2.290056,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,5,1.789305,1.774688,4.366220,4.402182,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,6,1.772655,1.758304,4.407231,4.443202,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,7,1.871868,1.856800,4.173638,4.207508,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,8,1.835605,1.820672,4.256090,4.290998,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,9,1.879346,1.863872,4.157032,4.191543,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,10,1.844820,1.829984,4.234831,4.269163,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,11,1.830815,1.815744,4.267224,4.302644,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,12,1.826771,1.811968,4.276673,4.311610,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,13,1.838483,1.823840,4.249428,4.283545,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,14,1.834094,1.818720,4.259597,4.295604,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,15,1.885409,1.871328,4.143664,4.174843,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,16,1.842102,1.827392,4.241079,4.275218,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,17,1.829050,1.814880,4.271344,4.304692,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,18,1.830956,1.816448,4.266897,4.300976,ok
8,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,19,1.842258,1.828352,4.240721,4.272974,ok
8,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,0,1.269277,1.255584,6.155078,6.222204,ok
8,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,1,1.247559,1.232384,6.262230,6.339339,ok
8,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,2,1.298229,1.284576,6.017813,6.081773,ok
8,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,3,1.357291,1.343936,5.755951,5.813149,ok
8,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,4,1.221304,1.207232,6.396852,6.471416,ok
