model,threads,pinning,omp_num_threads,omp_proc_bind,omp_places,warmup_round,hot_rounds,measurement_status,compress_source,decompress_source,safe_serial_compress_median_ms,safe_grouped_compress_median_ms,safe_grouped_decompress_median_ms,safe_grouped_closed_loop_median_ms,unsafe_v22_compress_median_ms,compression_ratio,speedup_vs_safe_serial_compress,notes
resnet50,1,unpinned,1,,,round_0,"round_1,round_2",not_available_in_committed_audit,,,,,,,,,,Committed headline uses pinned OpenMP results. Re-run the full CPU benchmark with OMP_PROC_BIND/OMP_PLACES unset to fill this backup table.
resnet50,2,unpinned,2,,,round_0,"round_1,round_2",not_available_in_committed_audit,,,,,,,,,,Committed headline uses pinned OpenMP results. Re-run the full CPU benchmark with OMP_PROC_BIND/OMP_PLACES unset to fill this backup table.
resnet50,4,unpinned,4,,,round_0,"round_1,round_2",not_available_in_committed_audit,,,,,,,,,,Committed headline uses pinned OpenMP results. Re-run the full CPU benchmark with OMP_PROC_BIND/OMP_PLACES unset to fill this backup table.
resnet50,8,unpinned,8,,,round_0,"round_1,round_2",not_available_in_committed_audit,,,,,,,,,,Committed headline uses pinned OpenMP results. Re-run the full CPU benchmark with OMP_PROC_BIND/OMP_PLACES unset to fill this backup table.
resnet50,16,unpinned,16,,,round_0,"round_1,round_2",not_available_in_committed_audit,,,,,,,,,,Committed headline uses pinned OpenMP results. Re-run the full CPU benchmark with OMP_PROC_BIND/OMP_PLACES unset to fill this backup table.
resnet18,1,unpinned,1,,,round_0,"round_1,round_2",not_available_in_committed_audit,,,,,,,,,,Committed headline uses pinned OpenMP results. Re-run the full CPU benchmark with OMP_PROC_BIND/OMP_PLACES unset to fill this backup table.
resnet18,2,unpinned,2,,,round_0,"round_1,round_2",not_available_in_committed_audit,,,,,,,,,,Committed headline uses pinned OpenMP results. Re-run the full CPU benchmark with OMP_PROC_BIND/OMP_PLACES unset to fill this backup table.
resnet18,4,unpinned,4,,,round_0,"round_1,round_2",not_available_in_committed_audit,,,,,,,,,,Committed headline uses pinned OpenMP results. Re-run the full CPU benchmark with OMP_PROC_BIND/OMP_PLACES unset to fill this backup table.
resnet18,8,unpinned,8,,,round_0,"round_1,round_2",not_available_in_committed_audit,,,,,,,,,,Committed headline uses pinned OpenMP results. Re-run the full CPU benchmark with OMP_PROC_BIND/OMP_PLACES unset to fill this backup table.
resnet18,16,unpinned,16,,,round_0,"round_1,round_2",not_available_in_committed_audit,,,,,,,,,,Committed headline uses pinned OpenMP results. Re-run the full CPU benchmark with OMP_PROC_BIND/OMP_PLACES unset to fill this backup table.
